year,Marcos (F),Marcos (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000017
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000015
1905,0.000000,0.000017
1906,0.000000,0.000016
1907,0.000000,0.000013
1908,0.000000,0.000014
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000011
1912,0.000000,0.000012
1913,0.000000,0.000011
1914,0.000000,0.000019
1915,0.000000,0.000013
1916,0.000000,0.000011
1917,0.000000,0.000019
1918,0.000000,0.000014
1919,0.000000,0.000017
1920,0.000000,0.000021
1921,0.000000,0.000024
1922,0.000000,0.000013
1923,0.000000,0.000023
1924,0.000000,0.000018
1925,0.000000,0.000020
1926,0.000003,0.000014
1927,0.000000,0.000023
1928,0.000000,0.000023
1929,0.000000,0.000022
1930,0.000000,0.000019
1931,0.000000,0.000026
1932,0.000000,0.000019
1933,0.000000,0.000020
1934,0.000000,0.000018
1935,0.000000,0.000017
1936,0.000000,0.000019
1937,0.000000,0.000013
1938,0.000000,0.000019
1939,0.000000,0.000018
1940,0.000000,0.000020
1941,0.000000,0.000016
1942,0.000000,0.000017
1943,0.000000,0.000016
1944,0.000000,0.000015
1945,0.000000,0.000020
1946,0.000000,0.000022
1947,0.000000,0.000015
1948,0.000000,0.000022
1949,0.000000,0.000024
1950,0.000000,0.000027
1951,0.000000,0.000022
1952,0.000000,0.000025
1953,0.000000,0.000024
1954,0.000000,0.000025
1955,0.000000,0.000027
1956,0.000000,0.000025
1957,0.000000,0.000026
1958,0.000000,0.000030
1959,0.000000,0.000037
1960,0.000000,0.000039
1961,0.000000,0.000043
1962,0.000000,0.000046
1963,0.000000,0.000047
1964,0.000000,0.000057
1965,0.000000,0.000068
1966,0.000000,0.000057
1967,0.000000,0.000073
1968,0.000000,0.000078
1969,0.000000,0.000088
1970,0.000000,0.000102
1971,0.000000,0.000106
1972,0.000000,0.000129
1973,0.000002,0.000151
1974,0.000000,0.000152
1975,0.000000,0.000172
1976,0.000000,0.000149
1977,0.000000,0.000166
1978,0.000000,0.000166
1979,0.000003,0.000160
1980,0.000000,0.000182
1981,0.000002,0.000182
1982,0.000002,0.000178
1983,0.000002,0.000194
1984,0.000002,0.000190
1985,0.000002,0.000202
1986,0.000001,0.000208
1987,0.000003,0.000196
1988,0.000002,0.000197
1989,0.000002,0.000209
1990,0.000002,0.000244
1991,0.000002,0.000263
1992,0.000002,0.000281
1993,0.000002,0.000295
1994,0.000003,0.000307
1995,0.000002,0.000313
1996,0.000002,0.000370
1997,0.000001,0.000365
1998,0.000000,0.000365
1999,0.000001,0.000357
2000,0.000001,0.000372
2001,0.000000,0.000378
2002,0.000000,0.000355
2003,0.000000,0.000363
2004,0.000002,0.000358
2005,0.000000,0.000354
2006,0.000000,0.000351
2007,0.000000,0.000348
2008,0.000000,0.000344
2009,0.000000,0.000318
2010,0.000000,0.000279
2011,0.000000,0.000244
2012,0.000000,0.000245
