year,Martinez
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,6
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,13
1954,10
1955,10
1956,15
1957,15
1958,17
1959,12
1960,7
1961,11
1962,14
1963,9
1964,11
1965,15
1966,11
1967,10
1968,18
1969,10
1970,16
1971,17
1972,14
1973,16
1974,19
1975,29
1976,30
1977,32
1978,18
1979,20
1980,28
1981,14
1982,26
1983,20
1984,17
1985,26
1986,25
1987,24
1988,32
1989,23
1990,41
1991,36
1992,39
1993,34
1994,19
1995,18
1996,26
1997,22
1998,18
1999,16
2000,24
2001,14
2002,12
2003,14
2004,17
2005,15
2006,9
2007,10
2008,9
2009,5
2010,9
2011,7
2012,11
