year,Marcelyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,5
1918,5
1919,5
1920,0
1921,12
1922,10
1923,7
1924,10
1925,16
1926,8
1927,27
1928,33
1929,27
1930,23
1931,23
1932,19
1933,18
1934,20
1935,20
1936,15
1937,12
1938,7
1939,12
1940,6
1941,8
1942,11
1943,10
1944,9
1945,7
1946,10
1947,16
1948,17
1949,12
1950,8
1951,17
1952,13
1953,17
1954,19
1955,16
1956,10
1957,9
1958,10
1959,9
1960,13
1961,10
1962,14
1963,12
1964,7
1965,9
1966,5
1967,6
1968,0
1969,8
1970,7
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,6
1978,6
1979,0
1980,7
1981,0
1982,6
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
