year,Mamie (F),Mamie (M)
1880,0.002164,0.000000
1881,0.002138,0.000000
1882,0.002293,0.000000
1883,0.002448,0.000000
1884,0.002501,0.000000
1885,0.002516,0.000000
1886,0.002789,0.000000
1887,0.002894,0.000024
1888,0.003062,0.000017
1889,0.003056,0.000000
1890,0.003208,0.000000
1891,0.002895,0.000000
1892,0.002925,0.000018
1893,0.003109,0.000000
1894,0.003080,0.000000
1895,0.003188,0.000020
1896,0.003024,0.000017
1897,0.002899,0.000000
1898,0.002842,0.000021
1899,0.002848,0.000000
1900,0.002969,0.000000
1901,0.002869,0.000000
1902,0.002914,0.000016
1903,0.002597,0.000016
1904,0.002580,0.000000
1905,0.002519,0.000012
1906,0.002339,0.000012
1907,0.002275,0.000000
1908,0.002104,0.000010
1909,0.001905,0.000010
1910,0.001827,0.000000
1911,0.001700,0.000000
1912,0.001288,0.000000
1913,0.001095,0.000000
1914,0.000979,0.000004
1915,0.000889,0.000003
1916,0.000855,0.000004
1917,0.000842,0.000004
1918,0.000787,0.000000
1919,0.000850,0.000003
1920,0.000755,0.000003
1921,0.000697,0.000003
1922,0.000738,0.000003
1923,0.000697,0.000004
1924,0.000683,0.000005
1925,0.000644,0.000004
1926,0.000595,0.000003
1927,0.000584,0.000005
1928,0.000521,0.000002
1929,0.000525,0.000004
1930,0.000462,0.000004
1931,0.000450,0.000005
1932,0.000460,0.000003
1933,0.000431,0.000003
1934,0.000416,0.000003
1935,0.000370,0.000002
1936,0.000338,0.000005
1937,0.000335,0.000004
1938,0.000306,0.000000
1939,0.000309,0.000005
1940,0.000293,0.000003
1941,0.000257,0.000002
1942,0.000232,0.000000
1943,0.000224,0.000000
1944,0.000215,0.000002
1945,0.000204,0.000000
1946,0.000171,0.000000
1947,0.000156,0.000000
1948,0.000146,0.000000
1949,0.000134,0.000000
1950,0.000132,0.000000
1951,0.000108,0.000000
1952,0.000106,0.000000
1953,0.000110,0.000000
1954,0.000093,0.000000
1955,0.000083,0.000000
1956,0.000087,0.000000
1957,0.000068,0.000000
1958,0.000070,0.000000
1959,0.000063,0.000000
1960,0.000060,0.000000
1961,0.000059,0.000000
1962,0.000052,0.000000
1963,0.000044,0.000000
1964,0.000047,0.000000
1965,0.000039,0.000000
1966,0.000039,0.000000
1967,0.000029,0.000000
1968,0.000031,0.000000
1969,0.000030,0.000000
1970,0.000023,0.000000
1971,0.000026,0.000000
1972,0.000026,0.000000
1973,0.000028,0.000000
1974,0.000028,0.000000
1975,0.000026,0.000000
1976,0.000026,0.000000
1977,0.000017,0.000000
1978,0.000028,0.000000
1979,0.000028,0.000000
1980,0.000023,0.000000
1981,0.000017,0.000000
1982,0.000023,0.000000
1983,0.000015,0.000000
1984,0.000016,0.000000
1985,0.000014,0.000000
1986,0.000011,0.000000
1987,0.000015,0.000000
1988,0.000011,0.000000
1989,0.000013,0.000000
1990,0.000009,0.000000
1991,0.000010,0.000000
1992,0.000010,0.000000
1993,0.000009,0.000000
1994,0.000007,0.000000
1995,0.000012,0.000000
1996,0.000007,0.000000
1997,0.000007,0.000000
1998,0.000009,0.000000
1999,0.000008,0.000000
2000,0.000011,0.000000
2001,0.000008,0.000000
2002,0.000006,0.000000
2003,0.000003,0.000000
2004,0.000003,0.000000
2005,0.000009,0.000000
2006,0.000005,0.000000
2007,0.000005,0.000000
2008,0.000007,0.000000
2009,0.000008,0.000000
2010,0.000007,0.000000
2011,0.000007,0.000000
2012,0.000005,0.000000
2013,0.000007,0.000000
2014,0.000007,0.000000
2015,0.000006,0.000000
2016,0.000006,0.000000
2017,0.000006,0.000000
2018,0.000006,0.000000
2019,0.000007,0.000000
2020,0.000007,0.000000
