year,Mitchel (F),Mitchel (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000045
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000031
1890,0.000000,0.000017
1891,0.000000,0.000021
1892,0.000000,0.000033
1893,0.000000,0.000031
1894,0.000000,0.000018
1895,0.000000,0.000028
1896,0.000000,0.000022
1897,0.000000,0.000020
1898,0.000000,0.000013
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000017
1902,0.000000,0.000018
1903,0.000000,0.000024
1904,0.000000,0.000025
1905,0.000000,0.000014
1906,0.000000,0.000014
1907,0.000000,0.000034
1908,0.000000,0.000025
1909,0.000000,0.000018
1910,0.000000,0.000017
1911,0.000000,0.000029
1912,0.000000,0.000034
1913,0.000000,0.000032
1914,0.000000,0.000033
1915,0.000000,0.000029
1916,0.000000,0.000024
1917,0.000000,0.000024
1918,0.000000,0.000026
1919,0.000000,0.000029
1920,0.000000,0.000028
1921,0.000000,0.000024
1922,0.000000,0.000026
1923,0.000000,0.000021
1924,0.000000,0.000020
1925,0.000000,0.000024
1926,0.000000,0.000026
1927,0.000000,0.000022
1928,0.000000,0.000020
1929,0.000000,0.000021
1930,0.000000,0.000018
1931,0.000000,0.000021
1932,0.000000,0.000019
1933,0.000000,0.000018
1934,0.000000,0.000024
1935,0.000000,0.000019
1936,0.000000,0.000013
1937,0.000000,0.000015
1938,0.000000,0.000021
1939,0.000000,0.000019
1940,0.000000,0.000019
1941,0.000000,0.000023
1942,0.000000,0.000021
1943,0.000000,0.000024
1944,0.000000,0.000021
1945,0.000000,0.000021
1946,0.000000,0.000024
1947,0.000000,0.000023
1948,0.000000,0.000030
1949,0.000000,0.000034
1950,0.000000,0.000035
1951,0.000000,0.000037
1952,0.000000,0.000042
1953,0.000000,0.000042
1954,0.000000,0.000039
1955,0.000000,0.000049
1956,0.000000,0.000048
1957,0.000000,0.000048
1958,0.000000,0.000063
1959,0.000000,0.000061
1960,0.000000,0.000054
1961,0.000000,0.000053
1962,0.000000,0.000050
1963,0.000000,0.000050
1964,0.000000,0.000046
1965,0.000000,0.000036
1966,0.000000,0.000041
1967,0.000000,0.000032
1968,0.000000,0.000038
1969,0.000000,0.000030
1970,0.000000,0.000027
1971,0.000000,0.000029
1972,0.000000,0.000034
1973,0.000000,0.000029
1974,0.000000,0.000025
1975,0.000000,0.000031
1976,0.000000,0.000026
1977,0.000000,0.000021
1978,0.000000,0.000027
1979,0.000000,0.000027
1980,0.000000,0.000030
1981,0.000000,0.000038
1982,0.000000,0.000039
1983,0.000000,0.000038
1984,0.000000,0.000047
1985,0.000000,0.000045
1986,0.000000,0.000056
1987,0.000002,0.000065
1988,0.000000,0.000067
1989,0.000002,0.000070
1990,0.000000,0.000079
1991,0.000000,0.000080
1992,0.000000,0.000075
1993,0.000000,0.000100
1994,0.000000,0.000110
1995,0.000000,0.000100
1996,0.000000,0.000089
1997,0.000000,0.000082
1998,0.000000,0.000075
1999,0.000000,0.000067
2000,0.000000,0.000060
2001,0.000000,0.000045
2002,0.000000,0.000046
2003,0.000000,0.000039
2004,0.000001,0.000032
2005,0.000001,0.000030
2006,0.000000,0.000026
2007,0.000000,0.000021
2008,0.000000,0.000022
2009,0.000000,0.000020
2010,0.000000,0.000013
2011,0.000000,0.000015
2012,0.000000,0.000010
2013,0.000000,0.000007
