year,Magdalen
1880,7
1881,0
1882,7
1883,12
1884,12
1885,7
1886,8
1887,20
1888,12
1889,9
1890,18
1891,18
1892,16
1893,20
1894,31
1895,28
1896,18
1897,26
1898,18
1899,26
1900,18
1901,30
1902,28
1903,19
1904,22
1905,25
1906,26
1907,13
1908,26
1909,21
1910,30
1911,28
1912,46
1913,35
1914,62
1915,92
1916,87
1917,63
1918,74
1919,62
1920,84
1921,64
1922,60
1923,52
1924,70
1925,50
1926,47
1927,43
1928,44
1929,34
1930,46
1931,26
1932,33
1933,23
1934,19
1935,20
1936,20
1937,17
1938,22
1939,26
1940,15
1941,18
1942,27
1943,19
1944,15
1945,13
1946,17
1947,9
1948,11
1949,10
1950,9
1951,24
1952,16
1953,12
1954,11
1955,14
1956,17
1957,17
1958,8
1959,10
1960,5
1961,13
1962,5
1963,8
1964,8
1965,8
1966,10
1967,7
1968,7
1969,6
1970,0
1971,0
1972,6
1973,9
1974,0
1975,8
1976,6
1977,10
1978,10
1979,6
1980,11
1981,11
1982,8
1983,8
1984,6
1985,14
1986,5
1987,10
1988,12
1989,10
1990,10
1991,17
1992,12
1993,14
1994,15
1995,20
1996,32
1997,17
1998,25
1999,24
2000,34
2001,41
2002,30
2003,31
2004,37
2005,35
2006,51
2007,29
2008,22
2009,28
2010,20
2011,24
2012,20
