year,Michela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,5
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,5
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,10
1943,0
1944,5
1945,9
1946,8
1947,0
1948,0
1949,8
1950,5
1951,7
1952,7
1953,5
1954,6
1955,12
1956,9
1957,6
1958,10
1959,0
1960,8
1961,9
1962,9
1963,6
1964,12
1965,12
1966,10
1967,10
1968,13
1969,5
1970,12
1971,17
1972,14
1973,11
1974,19
1975,20
1976,23
1977,15
1978,17
1979,12
1980,17
1981,24
1982,21
1983,19
1984,29
1985,59
1986,34
1987,34
1988,62
1989,34
1990,58
1991,52
1992,55
1993,56
1994,86
1995,61
1996,89
1997,87
1998,99
1999,79
2000,59
2001,64
2002,67
2003,53
2004,40
2005,42
2006,41
2007,32
2008,41
2009,28
2010,37
2011,24
2012,33
