year,Michaelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,9
1944,0
1945,6
1946,15
1947,14
1948,13
1949,8
1950,9
1951,12
1952,17
1953,11
1954,22
1955,14
1956,18
1957,20
1958,28
1959,26
1960,33
1961,23
1962,36
1963,31
1964,38
1965,27
1966,42
1967,62
1968,49
1969,56
1970,43
1971,44
1972,40
1973,37
1974,20
1975,37
1976,22
1977,25
1978,22
1979,22
1980,21
1981,12
1982,25
1983,25
1984,28
1985,18
1986,26
1987,22
1988,21
1989,18
1990,28
1991,12
1992,20
1993,16
1994,12
1995,7
1996,11
1997,14
1998,10
1999,7
2000,6
2001,0
2002,6
2003,7
2004,9
2005,9
2006,9
2007,0
2008,12
2009,6
2010,0
2011,0
2012,0
