year,Moana
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,8
1942,8
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,11
1955,7
1956,10
1957,5
1958,7
1959,7
1960,8
1961,8
1962,7
1963,0
1964,7
1965,0
1966,0
1967,7
1968,0
1969,0
1970,12
1971,12
1972,6
1973,11
1974,12
1975,12
1976,12
1977,13
1978,7
1979,11
1980,11
1981,8
1982,11
1983,8
1984,5
1985,0
1986,10
1987,9
1988,7
1989,7
1990,5
1991,8
1992,0
1993,6
1994,6
1995,5
1996,0
1997,9
1998,7
1999,8
2000,13
2001,10
2002,8
2003,9
2004,5
2005,8
2006,16
2007,10
2008,19
2009,11
2010,9
2011,12
2012,10
