year,Moira
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,6
1917,0
1918,0
1919,0
1920,0
1921,8
1922,7
1923,6
1924,5
1925,8
1926,8
1927,8
1928,8
1929,11
1930,14
1931,12
1932,6
1933,9
1934,19
1935,19
1936,14
1937,24
1938,12
1939,22
1940,20
1941,20
1942,29
1943,17
1944,18
1945,15
1946,20
1947,32
1948,41
1949,44
1950,38
1951,66
1952,73
1953,80
1954,89
1955,102
1956,92
1957,108
1958,126
1959,105
1960,124
1961,113
1962,120
1963,144
1964,143
1965,143
1966,109
1967,97
1968,112
1969,94
1970,76
1971,86
1972,74
1973,67
1974,59
1975,54
1976,65
1977,70
1978,61
1979,69
1980,70
1981,73
1982,80
1983,70
1984,59
1985,58
1986,59
1987,60
1988,73
1989,51
1990,62
1991,79
1992,75
1993,82
1994,91
1995,124
1996,110
1997,133
1998,123
1999,131
2000,128
2001,111
2002,116
2003,132
2004,124
2005,128
2006,133
2007,112
2008,122
2009,109
2010,97
2011,105
2012,114
