year,Maximino
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,5
1922,9
1923,0
1924,0
1925,8
1926,14
1927,7
1928,15
1929,17
1930,6
1931,10
1932,7
1933,5
1934,12
1935,5
1936,5
1937,6
1938,8
1939,0
1940,0
1941,7
1942,9
1943,8
1944,8
1945,5
1946,14
1947,6
1948,15
1949,10
1950,8
1951,0
1952,16
1953,8
1954,17
1955,9
1956,13
1957,15
1958,13
1959,20
1960,9
1961,16
1962,18
1963,14
1964,12
1965,20
1966,15
1967,11
1968,13
1969,12
1970,20
1971,14
1972,20
1973,18
1974,13
1975,26
1976,23
1977,22
1978,31
1979,20
1980,18
1981,22
1982,26
1983,11
1984,30
1985,31
1986,18
1987,31
1988,17
1989,29
1990,30
1991,30
1992,37
1993,25
1994,36
1995,20
1996,33
1997,29
1998,27
1999,38
2000,35
2001,26
2002,39
2003,36
2004,41
2005,41
2006,31
2007,47
2008,35
2009,27
2010,30
2011,36
2012,29
