year,Marc (F),Marc (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000017
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000012
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000016
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000012
1913,0.000000,0.000009
1914,0.000000,0.000008
1915,0.000000,0.000007
1916,0.000000,0.000007
1917,0.000000,0.000004
1918,0.000000,0.000008
1919,0.000000,0.000008
1920,0.000000,0.000010
1921,0.000000,0.000010
1922,0.000000,0.000012
1923,0.000000,0.000010
1924,0.000000,0.000013
1925,0.000000,0.000010
1926,0.000000,0.000012
1927,0.000000,0.000013
1928,0.000000,0.000014
1929,0.000000,0.000015
1930,0.000000,0.000017
1931,0.000000,0.000010
1932,0.000000,0.000021
1933,0.000000,0.000015
1934,0.000000,0.000018
1935,0.000000,0.000031
1936,0.000000,0.000022
1937,0.000000,0.000026
1938,0.000000,0.000035
1939,0.000000,0.000035
1940,0.000000,0.000053
1941,0.000000,0.000085
1942,0.000000,0.000080
1943,0.000000,0.000080
1944,0.000000,0.000109
1945,0.000000,0.000231
1946,0.000003,0.000248
1947,0.000000,0.000295
1948,0.000001,0.000365
1949,0.000002,0.000401
1950,0.000002,0.000430
1951,0.000002,0.000481
1952,0.000000,0.000483
1953,0.000000,0.000513
1954,0.000002,0.000603
1955,0.000002,0.000654
1956,0.000002,0.000589
1957,0.000002,0.000590
1958,0.000000,0.000582
1959,0.000001,0.000601
1960,0.000002,0.000624
1961,0.000001,0.000654
1962,0.000001,0.000729
1963,0.000003,0.000732
1964,0.000002,0.000791
1965,0.000002,0.000841
1966,0.000004,0.000854
1967,0.000005,0.000914
1968,0.000005,0.001048
1969,0.000006,0.001295
1970,0.000007,0.001390
1971,0.000007,0.001227
1972,0.000005,0.001102
1973,0.000005,0.001087
1974,0.000006,0.001023
1975,0.000005,0.000935
1976,0.000005,0.000855
1977,0.000004,0.000819
1978,0.000003,0.000780
1979,0.000004,0.000681
1980,0.000003,0.000671
1981,0.000003,0.000593
1982,0.000003,0.000582
1983,0.000005,0.000603
1984,0.000006,0.000603
1985,0.000006,0.000604
1986,0.000005,0.000571
1987,0.000004,0.000546
1988,0.000003,0.000507
1989,0.000002,0.000493
1990,0.000002,0.000481
1991,0.000000,0.000406
1992,0.000002,0.000377
1993,0.000002,0.000373
1994,0.000001,0.000365
1995,0.000000,0.000365
1996,0.000000,0.000354
1997,0.000002,0.000369
1998,0.000000,0.000351
1999,0.000000,0.000371
2000,0.000003,0.000393
2001,0.000000,0.000332
2002,0.000000,0.000286
2003,0.000000,0.000242
2004,0.000000,0.000235
2005,0.000000,0.000198
2006,0.000000,0.000184
2007,0.000000,0.000158
2008,0.000000,0.000155
2009,0.000000,0.000124
2010,0.000000,0.000118
2011,0.000000,0.000120
2012,0.000000,0.000115
