year,Monty (F),Monty (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000008
1913,0.000000,0.000007
1914,0.000000,0.000006
1915,0.000000,0.000003
1916,0.000000,0.000008
1917,0.000000,0.000003
1918,0.000002,0.000008
1919,0.000000,0.000005
1920,0.000002,0.000005
1921,0.000000,0.000007
1922,0.000000,0.000006
1923,0.000000,0.000006
1924,0.000000,0.000006
1925,0.000000,0.000007
1926,0.000000,0.000005
1927,0.000000,0.000010
1928,0.000000,0.000012
1929,0.000000,0.000014
1930,0.000000,0.000017
1931,0.000000,0.000025
1932,0.000003,0.000022
1933,0.000000,0.000024
1934,0.000003,0.000032
1935,0.000004,0.000025
1936,0.000000,0.000038
1937,0.000000,0.000044
1938,0.000003,0.000045
1939,0.000002,0.000063
1940,0.000005,0.000053
1941,0.000004,0.000056
1942,0.000003,0.000046
1943,0.000002,0.000068
1944,0.000004,0.000055
1945,0.000002,0.000054
1946,0.000000,0.000060
1947,0.000002,0.000061
1948,0.000002,0.000063
1949,0.000004,0.000095
1950,0.000002,0.000098
1951,0.000004,0.000087
1952,0.000000,0.000087
1953,0.000002,0.000077
1954,0.000002,0.000089
1955,0.000001,0.000088
1956,0.000002,0.000093
1957,0.000002,0.000111
1958,0.000000,0.000114
1959,0.000000,0.000119
1960,0.000001,0.000116
1961,0.000003,0.000130
1962,0.000002,0.000121
1963,0.000004,0.000116
1964,0.000002,0.000116
1965,0.000000,0.000116
1966,0.000000,0.000119
1967,0.000002,0.000096
1968,0.000002,0.000089
1969,0.000001,0.000085
1970,0.000002,0.000091
1971,0.000000,0.000087
1972,0.000003,0.000084
1973,0.000000,0.000074
1974,0.000000,0.000062
1975,0.000000,0.000060
1976,0.000000,0.000051
1977,0.000000,0.000044
1978,0.000000,0.000041
1979,0.000002,0.000036
1980,0.000000,0.000034
1981,0.000000,0.000029
1982,0.000000,0.000027
1983,0.000000,0.000025
1984,0.000000,0.000022
1985,0.000000,0.000022
1986,0.000000,0.000019
1987,0.000000,0.000015
1988,0.000000,0.000020
1989,0.000000,0.000017
1990,0.000000,0.000015
1991,0.000000,0.000016
1992,0.000000,0.000015
1993,0.000000,0.000015
1994,0.000000,0.000013
1995,0.000000,0.000014
1996,0.000000,0.000013
1997,0.000000,0.000012
1998,0.000000,0.000009
1999,0.000000,0.000010
2000,0.000000,0.000009
2001,0.000000,0.000007
2002,0.000000,0.000008
2003,0.000000,0.000009
2004,0.000000,0.000006
2005,0.000000,0.000009
2006,0.000000,0.000010
2007,0.000000,0.000010
2008,0.000000,0.000009
2009,0.000000,0.000014
2010,0.000000,0.000011
2011,0.000000,0.000006
2012,0.000000,0.000009
