year,Madelene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,10
1895,6
1896,6
1897,5
1898,10
1899,10
1900,12
1901,0
1902,9
1903,7
1904,13
1905,7
1906,11
1907,11
1908,10
1909,12
1910,19
1911,18
1912,18
1913,30
1914,42
1915,44
1916,49
1917,44
1918,55
1919,46
1920,52
1921,57
1922,42
1923,53
1924,52
1925,40
1926,38
1927,29
1928,30
1929,19
1930,25
1931,26
1932,27
1933,23
1934,19
1935,25
1936,18
1937,24
1938,26
1939,32
1940,22
1941,23
1942,23
1943,24
1944,13
1945,15
1946,19
1947,31
1948,31
1949,30
1950,23
1951,20
1952,16
1953,21
1954,25
1955,22
1956,23
1957,31
1958,39
1959,39
1960,18
1961,26
1962,15
1963,31
1964,20
1965,20
1966,26
1967,29
1968,18
1969,19
1970,21
1971,21
1972,12
1973,24
1974,19
1975,17
1976,10
1977,10
1978,14
1979,10
1980,11
1981,0
1982,5
1983,6
1984,7
1985,0
1986,7
1987,11
1988,10
1989,10
1990,21
1991,15
1992,16
1993,17
1994,23
1995,36
1996,30
1997,22
1998,29
1999,36
2000,26
2001,23
2002,20
2003,23
2004,18
2005,22
2006,17
2007,24
2008,18
2009,19
2010,18
2011,16
2012,10
