year,Marcell (F),Marcell (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000005,0.000006
1913,0.000004,0.000006
1914,0.000004,0.000007
1915,0.000005,0.000007
1916,0.000005,0.000006
1917,0.000004,0.000005
1918,0.000006,0.000004
1919,0.000010,0.000007
1920,0.000008,0.000008
1921,0.000007,0.000006
1922,0.000011,0.000010
1923,0.000014,0.000009
1924,0.000006,0.000009
1925,0.000011,0.000006
1926,0.000012,0.000007
1927,0.000007,0.000006
1928,0.000005,0.000006
1929,0.000010,0.000007
1930,0.000007,0.000008
1931,0.000012,0.000003
1932,0.000009,0.000005
1933,0.000006,0.000004
1934,0.000005,0.000005
1935,0.000010,0.000008
1936,0.000004,0.000006
1937,0.000007,0.000006
1938,0.000008,0.000005
1939,0.000007,0.000004
1940,0.000005,0.000005
1941,0.000004,0.000003
1942,0.000005,0.000003
1943,0.000007,0.000005
1944,0.000008,0.000000
1945,0.000006,0.000003
1946,0.000003,0.000003
1947,0.000004,0.000003
1948,0.000005,0.000005
1949,0.000002,0.000004
1950,0.000003,0.000005
1951,0.000003,0.000004
1952,0.000002,0.000006
1953,0.000000,0.000003
1954,0.000004,0.000003
1955,0.000003,0.000003
1956,0.000003,0.000004
1957,0.000004,0.000002
1958,0.000005,0.000006
1959,0.000006,0.000004
1960,0.000006,0.000005
1961,0.000005,0.000006
1962,0.000006,0.000004
1963,0.000005,0.000005
1964,0.000005,0.000005
1965,0.000005,0.000007
1966,0.000007,0.000012
1967,0.000005,0.000008
1968,0.000006,0.000011
1969,0.000003,0.000012
1970,0.000003,0.000015
1971,0.000005,0.000016
1972,0.000005,0.000019
1973,0.000003,0.000021
1974,0.000004,0.000015
1975,0.000008,0.000022
1976,0.000002,0.000014
1977,0.000002,0.000020
1978,0.000002,0.000012
1979,0.000003,0.000016
1980,0.000002,0.000019
1981,0.000001,0.000015
1982,0.000000,0.000014
1983,0.000003,0.000016
1984,0.000003,0.000018
1985,0.000002,0.000021
1986,0.000002,0.000019
1987,0.000000,0.000018
1988,0.000000,0.000021
1989,0.000002,0.000024
1990,0.000000,0.000026
1991,0.000002,0.000027
1992,0.000002,0.000023
1993,0.000002,0.000023
1994,0.000000,0.000026
1995,0.000002,0.000024
1996,0.000002,0.000025
1997,0.000000,0.000024
1998,0.000002,0.000024
1999,0.000000,0.000024
2000,0.000000,0.000023
2001,0.000000,0.000022
2002,0.000000,0.000021
2003,0.000000,0.000021
2004,0.000000,0.000019
2005,0.000000,0.000017
2006,0.000000,0.000023
2007,0.000000,0.000024
2008,0.000000,0.000019
2009,0.000000,0.000024
2010,0.000000,0.000017
2011,0.000000,0.000019
2012,0.000000,0.000022
