year,Margarett
1880,5
1881,6
1882,5
1883,7
1884,6
1885,0
1886,5
1887,7
1888,7
1889,10
1890,0
1891,12
1892,6
1893,9
1894,6
1895,10
1896,6
1897,12
1898,11
1899,14
1900,21
1901,8
1902,16
1903,13
1904,14
1905,8
1906,10
1907,15
1908,15
1909,26
1910,24
1911,22
1912,24
1913,41
1914,56
1915,55
1916,58
1917,82
1918,88
1919,92
1920,114
1921,103
1922,117
1923,113
1924,116
1925,109
1926,92
1927,114
1928,107
1929,87
1930,90
1931,91
1932,101
1933,79
1934,81
1935,91
1936,62
1937,69
1938,81
1939,90
1940,80
1941,83
1942,106
1943,101
1944,108
1945,87
1946,111
1947,99
1948,102
1949,83
1950,95
1951,67
1952,70
1953,54
1954,61
1955,57
1956,50
1957,56
1958,42
1959,38
1960,46
1961,32
1962,32
1963,19
1964,34
1965,23
1966,30
1967,19
1968,16
1969,22
1970,20
1971,20
1972,16
1973,18
1974,19
1975,10
1976,15
1977,16
1978,12
1979,0
1980,10
1981,13
1982,10
1983,5
1984,11
1985,5
1986,7
1987,9
1988,7
1989,5
1990,6
1991,0
1992,8
1993,7
1994,0
1995,7
1996,8
1997,0
1998,5
1999,6
2000,6
2001,6
2002,0
2003,0
2004,10
2005,8
2006,6
2007,0
2008,6
2009,5
2010,10
2011,0
2012,0
