year,Mabell
1880,0
1881,5
1882,0
1883,6
1884,0
1885,7
1886,0
1887,7
1888,11
1889,7
1890,0
1891,11
1892,12
1893,12
1894,13
1895,0
1896,10
1897,9
1898,11
1899,17
1900,14
1901,16
1902,7
1903,11
1904,10
1905,13
1906,10
1907,8
1908,12
1909,8
1910,12
1911,22
1912,10
1913,17
1914,19
1915,18
1916,30
1917,24
1918,17
1919,21
1920,27
1921,16
1922,12
1923,13
1924,14
1925,10
1926,7
1927,5
1928,9
1929,6
1930,9
1931,7
1932,6
1933,6
1934,5
1935,7
1936,0
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
