year,Myer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,0
1895,0
1896,0
1897,0
1898,7
1899,0
1900,0
1901,0
1902,0
1903,0
1904,5
1905,7
1906,5
1907,9
1908,6
1909,10
1910,8
1911,17
1912,32
1913,34
1914,39
1915,46
1916,33
1917,45
1918,48
1919,29
1920,23
1921,20
1922,15
1923,21
1924,18
1925,15
1926,13
1927,16
1928,16
1929,9
1930,10
1931,6
1932,0
1933,5
1934,0
1935,7
1936,0
1937,8
1938,0
1939,5
1940,6
1941,5
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,0
1949,7
1950,5
1951,0
1952,0
1953,7
1954,6
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,5
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,5
1994,0
1995,0
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,6
2003,0
2004,5
2005,11
2006,13
2007,10
2008,11
2009,17
2010,16
2011,19
2012,18
