year,Mitzi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,5
1907,9
1908,7
1909,5
1910,13
1911,13
1912,12
1913,8
1914,9
1915,20
1916,14
1917,18
1918,28
1919,28
1920,27
1921,32
1922,22
1923,30
1924,40
1925,46
1926,47
1927,57
1928,49
1929,37
1930,58
1931,93
1932,99
1933,91
1934,92
1935,74
1936,51
1937,69
1938,64
1939,50
1940,50
1941,54
1942,51
1943,58
1944,66
1945,55
1946,52
1947,87
1948,85
1949,87
1950,101
1951,98
1952,212
1953,305
1954,357
1955,424
1956,425
1957,438
1958,418
1959,455
1960,449
1961,467
1962,450
1963,400
1964,458
1965,351
1966,351
1967,343
1968,316
1969,315
1970,257
1971,270
1972,250
1973,257
1974,234
1975,291
1976,216
1977,191
1978,163
1979,143
1980,117
1981,94
1982,103
1983,67
1984,59
1985,52
1986,32
1987,36
1988,48
1989,35
1990,57
1991,56
1992,68
1993,71
1994,63
1995,57
1996,63
1997,55
1998,43
1999,60
2000,57
2001,50
2002,38
2003,25
2004,26
2005,19
2006,25
2007,27
2008,26
2009,18
2010,19
2011,26
2012,13
