year,Margorie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,6
1908,5
1909,6
1910,7
1911,0
1912,10
1913,7
1914,9
1915,15
1916,12
1917,20
1918,15
1919,26
1920,26
1921,31
1922,30
1923,34
1924,35
1925,39
1926,27
1927,33
1928,31
1929,20
1930,30
1931,12
1932,26
1933,19
1934,25
1935,15
1936,9
1937,16
1938,15
1939,19
1940,15
1941,12
1942,16
1943,20
1944,18
1945,8
1946,21
1947,11
1948,14
1949,18
1950,14
1951,13
1952,21
1953,20
1954,18
1955,10
1956,20
1957,13
1958,8
1959,9
1960,12
1961,9
1962,0
1963,7
1964,9
1965,8
1966,9
1967,6
1968,0
1969,5
1970,5
1971,9
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,6
1985,0
1986,0
1987,0
1988,5
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,7
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
