year,Mack (F),Mack (M)
1880,0.000000,0.000516
1881,0.000000,0.000415
1882,0.000000,0.000655
1883,0.000000,0.000452
1884,0.000000,0.000489
1885,0.000000,0.000432
1886,0.000000,0.000380
1887,0.000000,0.000441
1888,0.000000,0.000321
1889,0.000000,0.000381
1890,0.000000,0.000378
1891,0.000000,0.000443
1892,0.000000,0.000404
1893,0.000000,0.000354
1894,0.000000,0.000351
1895,0.000000,0.000399
1896,0.000000,0.000414
1897,0.000000,0.000458
1898,0.000000,0.000401
1899,0.000000,0.000472
1900,0.000000,0.000555
1901,0.000000,0.000330
1902,0.000000,0.000380
1903,0.000000,0.000344
1904,0.000000,0.000392
1905,0.000000,0.000356
1906,0.000000,0.000308
1907,0.000000,0.000305
1908,0.000000,0.000374
1909,0.000000,0.000301
1910,0.000000,0.000361
1911,0.000000,0.000306
1912,0.000000,0.000299
1913,0.000000,0.000257
1914,0.000000,0.000255
1915,0.000003,0.000237
1916,0.000003,0.000251
1917,0.000000,0.000239
1918,0.000000,0.000256
1919,0.000002,0.000274
1920,0.000000,0.000236
1921,0.000002,0.000227
1922,0.000004,0.000271
1923,0.000002,0.000239
1924,0.000000,0.000229
1925,0.000003,0.000244
1926,0.000003,0.000233
1927,0.000003,0.000238
1928,0.000003,0.000229
1929,0.000003,0.000231
1930,0.000002,0.000227
1931,0.000002,0.000230
1932,0.000000,0.000244
1933,0.000004,0.000209
1934,0.000000,0.000224
1935,0.000003,0.000215
1936,0.000003,0.000218
1937,0.000002,0.000222
1938,0.000003,0.000207
1939,0.000002,0.000189
1940,0.000003,0.000199
1941,0.000000,0.000178
1942,0.000003,0.000308
1943,0.000004,0.000222
1944,0.000002,0.000228
1945,0.000000,0.000204
1946,0.000003,0.000177
1947,0.000000,0.000143
1948,0.000000,0.000159
1949,0.000000,0.000145
1950,0.000000,0.000138
1951,0.000000,0.000132
1952,0.000001,0.000120
1953,0.000000,0.000113
1954,0.000000,0.000115
1955,0.000001,0.000099
1956,0.000000,0.000096
1957,0.000000,0.000095
1958,0.000001,0.000088
1959,0.000000,0.000081
1960,0.000000,0.000079
1961,0.000000,0.000075
1962,0.000000,0.000073
1963,0.000001,0.000077
1964,0.000000,0.000085
1965,0.000000,0.000076
1966,0.000000,0.000068
1967,0.000001,0.000070
1968,0.000000,0.000068
1969,0.000000,0.000049
1970,0.000000,0.000055
1971,0.000000,0.000054
1972,0.000000,0.000050
1973,0.000000,0.000054
1974,0.000000,0.000063
1975,0.000000,0.000053
1976,0.000000,0.000061
1977,0.000000,0.000053
1978,0.000000,0.000058
1979,0.000000,0.000045
1980,0.000000,0.000043
1981,0.000000,0.000036
1982,0.000000,0.000042
1983,0.000000,0.000038
1984,0.000000,0.000036
1985,0.000000,0.000031
1986,0.000000,0.000034
1987,0.000000,0.000036
1988,0.000000,0.000036
1989,0.000000,0.000035
1990,0.000000,0.000027
1991,0.000000,0.000029
1992,0.000000,0.000028
1993,0.000000,0.000029
1994,0.000000,0.000031
1995,0.000000,0.000023
1996,0.000000,0.000023
1997,0.000000,0.000025
1998,0.000000,0.000030
1999,0.000000,0.000026
2000,0.000000,0.000025
2001,0.000000,0.000027
2002,0.000000,0.000025
2003,0.000000,0.000031
2004,0.000000,0.000028
2005,0.000000,0.000032
2006,0.000000,0.000034
2007,0.000000,0.000035
2008,0.000000,0.000041
2009,0.000000,0.000053
2010,0.000000,0.000049
2011,0.000000,0.000050
2012,0.000000,0.000058
2013,0.000000,0.000074
2014,0.000000,0.000077
2015,0.000000,0.000105
2016,0.000000,0.000097
2017,0.000000,0.000121
2018,0.000000,0.000119
2019,0.000000,0.000137
2020,0.000000,0.000174
