year,Marybell
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,6
1911,0
1912,5
1913,7
1914,5
1915,11
1916,9
1917,7
1918,10
1919,20
1920,12
1921,8
1922,14
1923,9
1924,10
1925,16
1926,18
1927,14
1928,9
1929,5
1930,0
1931,9
1932,0
1933,0
1934,5
1935,10
1936,5
1937,0
1938,0
1939,5
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,0
1960,0
1961,9
1962,13
1963,14
1964,10
1965,13
1966,5
1967,6
1968,12
1969,14
1970,17
1971,18
1972,11
1973,8
1974,10
1975,8
1976,14
1977,5
1978,11
1979,6
1980,7
1981,7
1982,8
1983,11
1984,5
1985,8
1986,7
1987,0
1988,9
1989,6
1990,5
1991,7
1992,0
1993,0
1994,0
1995,6
1996,0
1997,5
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,8
2008,0
2009,0
2010,0
2011,0
2012,6
