year,Marlee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,6
1931,5
1932,6
1933,11
1934,9
1935,0
1936,10
1937,14
1938,14
1939,19
1940,13
1941,16
1942,15
1943,18
1944,8
1945,20
1946,12
1947,17
1948,25
1949,13
1950,23
1951,21
1952,20
1953,14
1954,20
1955,13
1956,19
1957,17
1958,24
1959,23
1960,15
1961,14
1962,14
1963,14
1964,16
1965,12
1966,26
1967,19
1968,20
1969,16
1970,22
1971,16
1972,13
1973,28
1974,24
1975,19
1976,13
1977,14
1978,18
1979,13
1980,11
1981,13
1982,16
1983,12
1984,14
1985,39
1986,45
1987,95
1988,108
1989,120
1990,154
1991,169
1992,216
1993,303
1994,219
1995,183
1996,207
1997,174
1998,219
1999,220
2000,219
2001,230
2002,244
2003,283
2004,310
2005,331
2006,358
2007,370
2008,899
2009,807
2010,591
2011,555
2012,578
