year,Meredith (F),Meredith (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000023
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000018
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000017,0.000014
1896,0.000000,0.000014
1897,0.000000,0.000017
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000011,0.000013
1901,0.000000,0.000023
1902,0.000021,0.000023
1903,0.000021,0.000016
1904,0.000012,0.000020
1905,0.000024,0.000021
1906,0.000014,0.000019
1907,0.000028,0.000021
1908,0.000029,0.000031
1909,0.000031,0.000033
1910,0.000041,0.000024
1911,0.000025,0.000025
1912,0.000020,0.000034
1913,0.000033,0.000038
1914,0.000028,0.000037
1915,0.000027,0.000047
1916,0.000034,0.000036
1917,0.000031,0.000037
1918,0.000038,0.000043
1919,0.000031,0.000036
1920,0.000033,0.000047
1921,0.000042,0.000043
1922,0.000041,0.000041
1923,0.000035,0.000031
1924,0.000034,0.000032
1925,0.000039,0.000036
1926,0.000036,0.000029
1927,0.000040,0.000033
1928,0.000042,0.000038
1929,0.000045,0.000029
1930,0.000042,0.000030
1931,0.000034,0.000033
1932,0.000042,0.000027
1933,0.000043,0.000025
1934,0.000061,0.000026
1935,0.000062,0.000031
1936,0.000079,0.000033
1937,0.000071,0.000025
1938,0.000087,0.000035
1939,0.000088,0.000024
1940,0.000075,0.000036
1941,0.000095,0.000043
1942,0.000100,0.000036
1943,0.000116,0.000029
1944,0.000122,0.000024
1945,0.000116,0.000022
1946,0.000104,0.000026
1947,0.000096,0.000026
1948,0.000085,0.000019
1949,0.000083,0.000016
1950,0.000087,0.000015
1951,0.000098,0.000017
1952,0.000083,0.000020
1953,0.000085,0.000017
1954,0.000071,0.000015
1955,0.000075,0.000009
1956,0.000070,0.000011
1957,0.000056,0.000009
1958,0.000053,0.000009
1959,0.000063,0.000007
1960,0.000059,0.000009
1961,0.000062,0.000008
1962,0.000065,0.000010
1963,0.000047,0.000006
1964,0.000078,0.000008
1965,0.000095,0.000009
1966,0.000100,0.000008
1967,0.000105,0.000009
1968,0.000160,0.000006
1969,0.000314,0.000008
1970,0.000376,0.000006
1971,0.000439,0.000010
1972,0.000457,0.000010
1973,0.000504,0.000007
1974,0.000499,0.000007
1975,0.000473,0.000011
1976,0.000484,0.000008
1977,0.000557,0.000007
1978,0.000593,0.000006
1979,0.000590,0.000008
1980,0.000601,0.000005
1981,0.000591,0.000007
1982,0.000557,0.000007
1983,0.000560,0.000005
1984,0.000555,0.000005
1985,0.000549,0.000005
1986,0.000542,0.000006
1987,0.000504,0.000005
1988,0.000502,0.000004
1989,0.000443,0.000004
1990,0.000394,0.000002
1991,0.000383,0.000004
1992,0.000381,0.000003
1993,0.000332,0.000001
1994,0.000331,0.000002
1995,0.000340,0.000002
1996,0.000324,0.000000
1997,0.000305,0.000002
1998,0.000302,0.000001
1999,0.000309,0.000000
2000,0.000289,0.000000
2001,0.000255,0.000000
2002,0.000223,0.000000
2003,0.000221,0.000000
2004,0.000250,0.000002
2005,0.000222,0.000000
2006,0.000269,0.000000
2007,0.000239,0.000000
2008,0.000181,0.000002
2009,0.000167,0.000000
2010,0.000132,0.000000
2011,0.000131,0.000001
2012,0.000116,0.000000
