year,Milton (F),Milton (M)
1880,0.000000,0.000740
1881,0.000000,0.000742
1882,0.000000,0.000700
1883,0.000000,0.000687
1884,0.000000,0.000616
1885,0.000000,0.000540
1886,0.000000,0.000568
1887,0.000000,0.000493
1888,0.000000,0.000551
1889,0.000000,0.000592
1890,0.000000,0.000418
1891,0.000000,0.000492
1892,0.000000,0.000517
1893,0.000000,0.000535
1894,0.000000,0.000461
1895,0.000000,0.000536
1896,0.000000,0.000543
1897,0.000000,0.000464
1898,0.000000,0.000590
1899,0.000000,0.000610
1900,0.000000,0.000537
1901,0.000014,0.000570
1902,0.000000,0.000535
1903,0.000000,0.000551
1904,0.000000,0.000570
1905,0.000000,0.000705
1906,0.000000,0.000707
1907,0.000000,0.000627
1908,0.000000,0.000708
1909,0.000000,0.000722
1910,0.000000,0.000806
1911,0.000000,0.000944
1912,0.000006,0.001335
1913,0.000008,0.001248
1914,0.000007,0.001295
1915,0.000006,0.001214
1916,0.000009,0.001212
1917,0.000006,0.001193
1918,0.000010,0.001130
1919,0.000007,0.001160
1920,0.000005,0.001146
1921,0.000005,0.001109
1922,0.000006,0.001117
1923,0.000007,0.001063
1924,0.000008,0.001039
1925,0.000006,0.001101
1926,0.000007,0.001053
1927,0.000009,0.001017
1928,0.000008,0.000960
1929,0.000008,0.000927
1930,0.000008,0.000922
1931,0.000007,0.000871
1932,0.000005,0.000810
1933,0.000004,0.000742
1934,0.000003,0.000730
1935,0.000005,0.000732
1936,0.000003,0.000694
1937,0.000004,0.000649
1938,0.000006,0.000632
1939,0.000004,0.000622
1940,0.000000,0.000619
1941,0.000002,0.000569
1942,0.000002,0.000550
1943,0.000004,0.000533
1944,0.000003,0.000541
1945,0.000002,0.000508
1946,0.000003,0.000472
1947,0.000000,0.000454
1948,0.000002,0.000448
1949,0.000002,0.000447
1950,0.000002,0.000444
1951,0.000002,0.000413
1952,0.000003,0.000416
1953,0.000002,0.000397
1954,0.000002,0.000397
1955,0.000003,0.000355
1956,0.000003,0.000358
1957,0.000003,0.000324
1958,0.000002,0.000321
1959,0.000003,0.000293
1960,0.000002,0.000285
1961,0.000002,0.000267
1962,0.000001,0.000275
1963,0.000002,0.000251
1964,0.000002,0.000251
1965,0.000002,0.000227
1966,0.000002,0.000220
1967,0.000000,0.000210
1968,0.000000,0.000202
1969,0.000002,0.000188
1970,0.000000,0.000175
1971,0.000002,0.000172
1972,0.000000,0.000155
1973,0.000000,0.000151
1974,0.000002,0.000148
1975,0.000002,0.000145
1976,0.000000,0.000145
1977,0.000000,0.000130
1978,0.000000,0.000131
1979,0.000000,0.000113
1980,0.000000,0.000117
1981,0.000000,0.000116
1982,0.000000,0.000117
1983,0.000000,0.000107
1984,0.000000,0.000108
1985,0.000000,0.000102
1986,0.000000,0.000096
1987,0.000000,0.000100
1988,0.000000,0.000099
1989,0.000002,0.000091
1990,0.000000,0.000082
1991,0.000000,0.000086
1992,0.000000,0.000086
1993,0.000000,0.000084
1994,0.000000,0.000076
1995,0.000000,0.000074
1996,0.000000,0.000077
1997,0.000000,0.000068
1998,0.000000,0.000059
1999,0.000000,0.000062
2000,0.000000,0.000074
2001,0.000000,0.000070
2002,0.000000,0.000069
2003,0.000000,0.000064
2004,0.000000,0.000064
2005,0.000000,0.000060
2006,0.000000,0.000060
2007,0.000000,0.000056
2008,0.000000,0.000056
2009,0.000000,0.000050
2010,0.000000,0.000051
2011,0.000000,0.000044
2012,0.000000,0.000046
