year,Maybelle
1880,16
1881,16
1882,29
1883,28
1884,25
1885,31
1886,33
1887,41
1888,49
1889,36
1890,46
1891,45
1892,52
1893,65
1894,51
1895,66
1896,67
1897,56
1898,78
1899,65
1900,91
1901,73
1902,75
1903,69
1904,74
1905,84
1906,90
1907,95
1908,105
1909,87
1910,106
1911,89
1912,118
1913,156
1914,141
1915,156
1916,208
1917,203
1918,212
1919,164
1920,169
1921,164
1922,142
1923,127
1924,139
1925,122
1926,133
1927,96
1928,97
1929,100
1930,99
1931,75
1932,82
1933,70
1934,68
1935,45
1936,49
1937,36
1938,46
1939,48
1940,47
1941,43
1942,52
1943,42
1944,26
1945,18
1946,28
1947,28
1948,27
1949,17
1950,18
1951,16
1952,17
1953,18
1954,8
1955,10
1956,14
1957,6
1958,11
1959,10
1960,10
1961,9
1962,11
1963,6
1964,11
1965,5
1966,0
1967,7
1968,0
1969,5
1970,0
1971,5
1972,7
1973,0
1974,0
1975,0
1976,7
1977,0
1978,0
1979,0
1980,0
1981,0
1982,5
1983,5
1984,6
1985,5
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,5
1995,0
1996,0
1997,0
1998,0
1999,9
2000,0
2001,0
2002,8
2003,6
2004,6
2005,0
2006,11
2007,0
2008,15
2009,10
2010,16
2011,9
2012,22
