year,Marymargaret
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,5
1916,6
1917,7
1918,0
1919,0
1920,0
1921,0
1922,6
1923,5
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,9
1943,0
1944,6
1945,6
1946,0
1947,8
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,6
1955,0
1956,0
1957,0
1958,0
1959,8
1960,6
1961,10
1962,13
1963,24
1964,11
1965,19
1966,16
1967,10
1968,0
1969,8
1970,13
1971,10
1972,7
1973,7
1974,9
1975,11
1976,6
1977,7
1978,11
1979,8
1980,15
1981,9
1982,10
1983,7
1984,15
1985,18
1986,9
1987,21
1988,16
1989,7
1990,14
1991,9
1992,16
1993,11
1994,29
1995,37
1996,27
1997,19
1998,24
1999,21
2000,24
2001,27
2002,16
2003,19
2004,12
2005,17
2006,16
2007,14
2008,15
2009,14
2010,5
2011,0
2012,8
