year,Margrett
1880,0
1881,0
1882,0
1883,0
1884,0
1885,7
1886,0
1887,0
1888,12
1889,0
1890,5
1891,5
1892,6
1893,6
1894,8
1895,5
1896,9
1897,9
1898,8
1899,9
1900,9
1901,11
1902,7
1903,6
1904,5
1905,9
1906,10
1907,5
1908,8
1909,16
1910,10
1911,13
1912,11
1913,17
1914,22
1915,24
1916,25
1917,23
1918,22
1919,34
1920,30
1921,31
1922,35
1923,39
1924,46
1925,32
1926,35
1927,39
1928,18
1929,34
1930,22
1931,27
1932,29
1933,29
1934,25
1935,16
1936,19
1937,15
1938,24
1939,21
1940,23
1941,22
1942,29
1943,19
1944,23
1945,30
1946,16
1947,23
1948,19
1949,20
1950,17
1951,5
1952,18
1953,10
1954,17
1955,10
1956,12
1957,7
1958,9
1959,6
1960,12
1961,6
1962,9
1963,10
1964,6
1965,7
1966,5
1967,5
1968,0
1969,0
1970,7
1971,0
1972,0
1973,0
1974,6
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,6
1986,0
1987,0
1988,0
1989,0
1990,5
1991,5
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
