year,Maricella
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,5
1953,6
1954,0
1955,0
1956,0
1957,5
1958,10
1959,8
1960,12
1961,13
1962,12
1963,12
1964,17
1965,13
1966,8
1967,9
1968,15
1969,24
1970,15
1971,34
1972,18
1973,22
1974,29
1975,33
1976,27
1977,25
1978,34
1979,30
1980,37
1981,28
1982,18
1983,23
1984,29
1985,22
1986,33
1987,34
1988,32
1989,37
1990,37
1991,43
1992,34
1993,43
1994,34
1995,34
1996,36
1997,41
1998,57
1999,33
2000,35
2001,37
2002,38
2003,38
2004,42
2005,27
2006,30
2007,31
2008,24
2009,26
2010,24
2011,16
2012,14
