year,Michelina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,5
1905,7
1906,6
1907,0
1908,9
1909,7
1910,14
1911,12
1912,14
1913,27
1914,28
1915,35
1916,44
1917,52
1918,48
1919,29
1920,45
1921,52
1922,56
1923,40
1924,45
1925,47
1926,46
1927,36
1928,35
1929,42
1930,38
1931,42
1932,31
1933,27
1934,23
1935,19
1936,25
1937,33
1938,29
1939,24
1940,16
1941,18
1942,27
1943,14
1944,12
1945,17
1946,8
1947,15
1948,23
1949,25
1950,19
1951,12
1952,8
1953,8
1954,0
1955,12
1956,14
1957,20
1958,9
1959,9
1960,6
1961,16
1962,10
1963,8
1964,0
1965,5
1966,10
1967,9
1968,11
1969,14
1970,11
1971,15
1972,9
1973,19
1974,11
1975,14
1976,11
1977,10
1978,11
1979,11
1980,8
1981,6
1982,10
1983,10
1984,15
1985,13
1986,12
1987,15
1988,11
1989,13
1990,13
1991,10
1992,12
1993,10
1994,23
1995,31
1996,14
1997,13
1998,12
1999,17
2000,13
2001,10
2002,17
2003,18
2004,12
2005,19
2006,12
2007,13
2008,10
2009,13
2010,10
2011,0
2012,8
