year,Magnolia
1880,8
1881,12
1882,7
1883,8
1884,8
1885,6
1886,15
1887,10
1888,14
1889,17
1890,9
1891,15
1892,14
1893,23
1894,16
1895,31
1896,25
1897,28
1898,25
1899,21
1900,43
1901,19
1902,48
1903,46
1904,42
1905,47
1906,43
1907,41
1908,73
1909,77
1910,85
1911,73
1912,104
1913,89
1914,115
1915,120
1916,131
1917,102
1918,146
1919,136
1920,127
1921,150
1922,150
1923,127
1924,122
1925,125
1926,87
1927,117
1928,100
1929,76
1930,94
1931,69
1932,78
1933,85
1934,51
1935,81
1936,57
1937,51
1938,56
1939,48
1940,77
1941,47
1942,53
1943,45
1944,42
1945,49
1946,52
1947,47
1948,45
1949,43
1950,43
1951,42
1952,31
1953,47
1954,25
1955,27
1956,29
1957,24
1958,25
1959,10
1960,12
1961,19
1962,17
1963,19
1964,18
1965,19
1966,11
1967,16
1968,11
1969,10
1970,8
1971,9
1972,13
1973,22
1974,11
1975,17
1976,14
1977,17
1978,24
1979,14
1980,17
1981,14
1982,22
1983,12
1984,16
1985,7
1986,18
1987,0
1988,10
1989,15
1990,15
1991,20
1992,19
1993,28
1994,29
1995,25
1996,34
1997,30
1998,38
1999,33
2000,72
2001,75
2002,66
2003,58
2004,65
2005,74
2006,100
2007,115
2008,141
2009,140
2010,166
2011,189
2012,221
