year,Magdaline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,9
1905,6
1906,0
1907,5
1908,10
1909,6
1910,11
1911,11
1912,16
1913,21
1914,11
1915,26
1916,32
1917,26
1918,28
1919,22
1920,35
1921,36
1922,32
1923,32
1924,32
1925,21
1926,33
1927,27
1928,29
1929,19
1930,27
1931,18
1932,24
1933,26
1934,14
1935,16
1936,14
1937,13
1938,11
1939,10
1940,17
1941,11
1942,13
1943,14
1944,9
1945,6
1946,13
1947,7
1948,12
1949,10
1950,8
1951,14
1952,12
1953,5
1954,7
1955,12
1956,9
1957,11
1958,14
1959,20
1960,13
1961,12
1962,16
1963,14
1964,14
1965,10
1966,15
1967,9
1968,9
1969,6
1970,6
1971,8
1972,7
1973,6
1974,0
1975,0
1976,0
1977,0
1978,6
1979,6
1980,8
1981,0
1982,7
1983,0
1984,7
1985,0
1986,0
1987,6
1988,9
1989,8
1990,10
1991,11
1992,0
1993,10
1994,6
1995,12
1996,14
1997,5
1998,0
1999,9
2000,9
2001,12
2002,7
2003,6
2004,11
2005,9
2006,7
2007,11
2008,9
2009,10
2010,8
2011,5
2012,7
