year,Manda
1880,10
1881,14
1882,11
1883,18
1884,17
1885,21
1886,19
1887,19
1888,29
1889,17
1890,16
1891,19
1892,23
1893,16
1894,24
1895,20
1896,23
1897,15
1898,21
1899,26
1900,22
1901,19
1902,25
1903,20
1904,22
1905,20
1906,16
1907,18
1908,24
1909,11
1910,25
1911,15
1912,25
1913,18
1914,23
1915,25
1916,27
1917,27
1918,31
1919,35
1920,27
1921,27
1922,28
1923,33
1924,32
1925,32
1926,15
1927,20
1928,20
1929,18
1930,17
1931,12
1932,15
1933,10
1934,7
1935,12
1936,13
1937,14
1938,18
1939,8
1940,10
1941,6
1942,6
1943,10
1944,15
1945,7
1946,8
1947,9
1948,11
1949,14
1950,9
1951,12
1952,12
1953,16
1954,7
1955,11
1956,16
1957,10
1958,12
1959,8
1960,10
1961,9
1962,6
1963,10
1964,11
1965,9
1966,15
1967,19
1968,12
1969,24
1970,43
1971,41
1972,38
1973,50
1974,55
1975,102
1976,86
1977,96
1978,94
1979,90
1980,73
1981,94
1982,83
1983,66
1984,64
1985,69
1986,80
1987,73
1988,70
1989,57
1990,42
1991,44
1992,39
1993,28
1994,21
1995,17
1996,17
1997,20
1998,10
1999,10
2000,7
2001,6
2002,12
2003,5
2004,13
2005,0
2006,10
2007,5
2008,7
2009,5
2010,0
2011,0
2012,8
