year,Margurite
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,6
1894,7
1895,9
1896,9
1897,9
1898,10
1899,7
1900,7
1901,0
1902,0
1903,10
1904,8
1905,9
1906,10
1907,16
1908,16
1909,13
1910,18
1911,17
1912,33
1913,30
1914,29
1915,43
1916,53
1917,44
1918,42
1919,67
1920,67
1921,48
1922,58
1923,68
1924,49
1925,35
1926,53
1927,38
1928,36
1929,37
1930,36
1931,24
1932,22
1933,15
1934,17
1935,21
1936,17
1937,21
1938,25
1939,25
1940,15
1941,16
1942,16
1943,22
1944,17
1945,16
1946,16
1947,17
1948,27
1949,13
1950,21
1951,23
1952,27
1953,18
1954,20
1955,20
1956,14
1957,24
1958,17
1959,13
1960,10
1961,14
1962,8
1963,12
1964,12
1965,12
1966,9
1967,10
1968,10
1969,0
1970,0
1971,0
1972,0
1973,0
1974,12
1975,8
1976,5
1977,0
1978,0
1979,0
1980,0
1981,6
1982,0
1983,0
1984,0
1985,6
1986,0
1987,5
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
