year,Margueritte
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,5
1891,5
1892,6
1893,7
1894,0
1895,10
1896,5
1897,10
1898,9
1899,0
1900,10
1901,12
1902,12
1903,7
1904,7
1905,8
1906,15
1907,20
1908,14
1909,11
1910,19
1911,20
1912,26
1913,26
1914,29
1915,38
1916,43
1917,32
1918,55
1919,56
1920,44
1921,40
1922,33
1923,42
1924,39
1925,36
1926,28
1927,38
1928,35
1929,18
1930,18
1931,12
1932,14
1933,13
1934,10
1935,15
1936,18
1937,11
1938,15
1939,6
1940,12
1941,9
1942,11
1943,8
1944,7
1945,8
1946,10
1947,13
1948,12
1949,12
1950,7
1951,10
1952,7
1953,7
1954,6
1955,8
1956,8
1957,7
1958,8
1959,0
1960,0
1961,8
1962,0
1963,5
1964,5
1965,0
1966,6
1967,0
1968,5
1969,5
1970,0
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
