year,Mabelle
1880,39
1881,29
1882,40
1883,56
1884,54
1885,70
1886,59
1887,57
1888,61
1889,67
1890,58
1891,69
1892,82
1893,83
1894,55
1895,54
1896,42
1897,48
1898,70
1899,43
1900,55
1901,42
1902,44
1903,56
1904,35
1905,43
1906,36
1907,58
1908,47
1909,25
1910,43
1911,23
1912,26
1913,45
1914,45
1915,69
1916,63
1917,52
1918,46
1919,28
1920,36
1921,38
1922,36
1923,35
1924,27
1925,26
1926,26
1927,14
1928,11
1929,24
1930,23
1931,9
1932,11
1933,8
1934,7
1935,14
1936,8
1937,10
1938,8
1939,5
1940,7
1941,0
1942,7
1943,6
1944,0
1945,0
1946,0
1947,7
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,5
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,6
2003,5
2004,0
2005,5
2006,0
2007,0
2008,9
2009,0
2010,0
2011,8
2012,9
