year,Marget
1880,0
1881,0
1882,5
1883,6
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,5
1892,0
1893,5
1894,8
1895,0
1896,0
1897,0
1898,5
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,6
1910,5
1911,8
1912,8
1913,11
1914,12
1915,13
1916,11
1917,16
1918,13
1919,10
1920,15
1921,13
1922,22
1923,11
1924,21
1925,21
1926,19
1927,15
1928,20
1929,8
1930,15
1931,16
1932,7
1933,13
1934,12
1935,15
1936,12
1937,9
1938,8
1939,8
1940,10
1941,15
1942,15
1943,5
1944,8
1945,13
1946,0
1947,5
1948,0
1949,7
1950,6
1951,6
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,7
1964,0
1965,6
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,5
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
