year,Monroe (F),Monroe (M)
1880,0.000000,0.000263
1881,0.000000,0.000301
1882,0.000000,0.000343
1883,0.000000,0.000212
1884,0.000000,0.000230
1885,0.000000,0.000224
1886,0.000000,0.000286
1887,0.000000,0.000226
1888,0.000000,0.000247
1889,0.000000,0.000235
1890,0.000000,0.000176
1891,0.000000,0.000164
1892,0.000000,0.000173
1893,0.000000,0.000194
1894,0.000000,0.000171
1895,0.000000,0.000179
1896,0.000000,0.000176
1897,0.000000,0.000167
1898,0.000000,0.000152
1899,0.000000,0.000130
1900,0.000000,0.000198
1901,0.000000,0.000179
1902,0.000000,0.000153
1903,0.000000,0.000176
1904,0.000000,0.000159
1905,0.000000,0.000186
1906,0.000000,0.000168
1907,0.000000,0.000155
1908,0.000000,0.000166
1909,0.000000,0.000147
1910,0.000000,0.000132
1911,0.000000,0.000141
1912,0.000000,0.000177
1913,0.000000,0.000185
1914,0.000000,0.000177
1915,0.000000,0.000169
1916,0.000000,0.000155
1917,0.000000,0.000166
1918,0.000000,0.000167
1919,0.000000,0.000161
1920,0.000000,0.000159
1921,0.000000,0.000161
1922,0.000000,0.000155
1923,0.000000,0.000145
1924,0.000000,0.000123
1925,0.000000,0.000130
1926,0.000000,0.000140
1927,0.000000,0.000130
1928,0.000004,0.000124
1929,0.000000,0.000125
1930,0.000000,0.000117
1931,0.000000,0.000118
1932,0.000000,0.000094
1933,0.000000,0.000110
1934,0.000000,0.000102
1935,0.000000,0.000101
1936,0.000000,0.000107
1937,0.000000,0.000091
1938,0.000003,0.000093
1939,0.000000,0.000086
1940,0.000000,0.000085
1941,0.000000,0.000075
1942,0.000000,0.000069
1943,0.000000,0.000073
1944,0.000000,0.000069
1945,0.000000,0.000058
1946,0.000000,0.000058
1947,0.000000,0.000057
1948,0.000000,0.000055
1949,0.000000,0.000048
1950,0.000000,0.000036
1951,0.000002,0.000039
1952,0.000000,0.000045
1953,0.000000,0.000038
1954,0.000000,0.000029
1955,0.000000,0.000034
1956,0.000000,0.000030
1957,0.000000,0.000030
1958,0.000000,0.000023
1959,0.000000,0.000023
1960,0.000000,0.000018
1961,0.000000,0.000021
1962,0.000000,0.000019
1963,0.000000,0.000022
1964,0.000000,0.000020
1965,0.000000,0.000019
1966,0.000000,0.000020
1967,0.000000,0.000021
1968,0.000000,0.000022
1969,0.000000,0.000020
1970,0.000000,0.000020
1971,0.000000,0.000022
1972,0.000000,0.000012
1973,0.000000,0.000021
1974,0.000000,0.000017
1975,0.000000,0.000015
1976,0.000000,0.000015
1977,0.000000,0.000017
1978,0.000000,0.000013
1979,0.000000,0.000015
1980,0.000000,0.000012
1981,0.000000,0.000014
1982,0.000000,0.000012
1983,0.000000,0.000014
1984,0.000000,0.000009
1985,0.000000,0.000011
1986,0.000000,0.000011
1987,0.000000,0.000009
1988,0.000000,0.000008
1989,0.000000,0.000009
1990,0.000000,0.000010
1991,0.000000,0.000009
1992,0.000000,0.000008
1993,0.000000,0.000008
1994,0.000000,0.000010
1995,0.000000,0.000012
1996,0.000003,0.000007
1997,0.000002,0.000008
1998,0.000003,0.000006
1999,0.000002,0.000008
2000,0.000002,0.000008
2001,0.000002,0.000008
2002,0.000004,0.000007
2003,0.000003,0.000007
2004,0.000007,0.000005
2005,0.000006,0.000010
2006,0.000008,0.000008
2007,0.000010,0.000010
2008,0.000009,0.000010
2009,0.000016,0.000011
2010,0.000025,0.000010
2011,0.000039,0.000012
2012,0.000073,0.000021
2013,0.000098,0.000030
