year,Marica
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,5
1939,6
1940,6
1941,0
1942,8
1943,8
1944,0
1945,0
1946,6
1947,9
1948,10
1949,9
1950,8
1951,16
1952,14
1953,11
1954,16
1955,8
1956,13
1957,11
1958,21
1959,9
1960,17
1961,16
1962,13
1963,14
1964,16
1965,18
1966,14
1967,17
1968,15
1969,18
1970,17
1971,18
1972,18
1973,20
1974,33
1975,21
1976,22
1977,20
1978,29
1979,31
1980,29
1981,19
1982,17
1983,27
1984,21
1985,17
1986,16
1987,19
1988,14
1989,16
1990,20
1991,19
1992,13
1993,9
1994,14
1995,18
1996,5
1997,9
1998,5
1999,6
2000,8
2001,0
2002,8
2003,7
2004,0
2005,6
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
