year,Margarette
1880,9
1881,5
1882,0
1883,11
1884,0
1885,7
1886,12
1887,9
1888,9
1889,14
1890,17
1891,10
1892,7
1893,14
1894,14
1895,10
1896,16
1897,19
1898,17
1899,10
1900,29
1901,23
1902,14
1903,20
1904,25
1905,21
1906,29
1907,30
1908,37
1909,49
1910,40
1911,55
1912,60
1913,77
1914,111
1915,132
1916,140
1917,136
1918,165
1919,181
1920,150
1921,200
1922,179
1923,185
1924,178
1925,164
1926,162
1927,144
1928,132
1929,125
1930,105
1931,88
1932,100
1933,88
1934,83
1935,72
1936,83
1937,85
1938,72
1939,71
1940,69
1941,71
1942,82
1943,88
1944,80
1945,70
1946,80
1947,88
1948,74
1949,70
1950,66
1951,57
1952,57
1953,48
1954,41
1955,40
1956,34
1957,46
1958,32
1959,35
1960,36
1961,40
1962,32
1963,33
1964,25
1965,23
1966,20
1967,17
1968,30
1969,13
1970,24
1971,20
1972,17
1973,15
1974,20
1975,12
1976,9
1977,12
1978,11
1979,17
1980,6
1981,12
1982,12
1983,17
1984,13
1985,16
1986,15
1987,13
1988,13
1989,15
1990,11
1991,6
1992,13
1993,16
1994,11
1995,7
1996,11
1997,14
1998,9
1999,12
2000,10
2001,9
2002,8
2003,0
2004,7
2005,13
2006,12
2007,6
2008,5
2009,7
2010,6
2011,6
2012,7
