year,Mimi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,0
1903,7
1904,0
1905,0
1906,0
1907,0
1908,6
1909,6
1910,12
1911,9
1912,14
1913,9
1914,18
1915,14
1916,31
1917,25
1918,18
1919,31
1920,34
1921,33
1922,30
1923,31
1924,29
1925,40
1926,22
1927,40
1928,31
1929,40
1930,36
1931,34
1932,34
1933,33
1934,41
1935,45
1936,41
1937,52
1938,48
1939,47
1940,29
1941,39
1942,54
1943,65
1944,64
1945,66
1946,67
1947,79
1948,96
1949,86
1950,99
1951,107
1952,117
1953,122
1954,138
1955,145
1956,156
1957,131
1958,131
1959,135
1960,150
1961,168
1962,160
1963,135
1964,139
1965,139
1966,114
1967,125
1968,97
1969,106
1970,80
1971,86
1972,73
1973,68
1974,65
1975,65
1976,46
1977,57
1978,51
1979,47
1980,78
1981,59
1982,61
1983,58
1984,55
1985,60
1986,41
1987,43
1988,74
1989,60
1990,57
1991,61
1992,63
1993,71
1994,62
1995,59
1996,69
1997,64
1998,57
1999,64
2000,44
2001,66
2002,48
2003,36
2004,62
2005,63
2006,47
2007,51
2008,59
2009,39
2010,29
2011,39
2012,31
