year,Myla
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,7
1914,0
1915,7
1916,6
1917,9
1918,7
1919,9
1920,5
1921,10
1922,8
1923,17
1924,7
1925,9
1926,5
1927,12
1928,6
1929,10
1930,14
1931,9
1932,8
1933,0
1934,8
1935,10
1936,8
1937,7
1938,13
1939,14
1940,10
1941,11
1942,9
1943,7
1944,8
1945,10
1946,15
1947,18
1948,19
1949,13
1950,14
1951,11
1952,10
1953,17
1954,20
1955,56
1956,33
1957,24
1958,16
1959,24
1960,22
1961,19
1962,26
1963,25
1964,22
1965,26
1966,11
1967,25
1968,23
1969,23
1970,17
1971,19
1972,26
1973,21
1974,21
1975,30
1976,18
1977,45
1978,33
1979,25
1980,28
1981,33
1982,25
1983,21
1984,21
1985,16
1986,18
1987,22
1988,24
1989,12
1990,19
1991,32
1992,27
1993,38
1994,22
1995,21
1996,41
1997,55
1998,87
1999,86
2000,93
2001,127
2002,146
2003,219
2004,218
2005,256
2006,291
2007,322
2008,511
2009,558
2010,588
2011,610
2012,776
