year,Mi
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,8
1955,0
1956,0
1957,0
1958,6
1959,8
1960,12
1961,5
1962,14
1963,7
1964,13
1965,10
1966,11
1967,8
1968,7
1969,5
1970,0
1971,5
1972,6
1973,9
1974,5
1975,0
1976,10
1977,6
1978,11
1979,11
1980,13
1981,28
1982,25
1983,18
1984,18
1985,19
1986,13
1987,20
1988,28
1989,18
1990,22
1991,26
1992,17
1993,19
1994,15
1995,11
1996,17
1997,13
1998,17
1999,14
2000,12
2001,19
2002,9
2003,12
2004,6
2005,15
2006,6
2007,5
2008,6
2009,13
2010,0
2011,5
2012,0
