year,Meryle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,6
1910,0
1911,5
1912,5
1913,5
1914,0
1915,8
1916,13
1917,16
1918,11
1919,12
1920,14
1921,14
1922,10
1923,8
1924,18
1925,14
1926,10
1927,5
1928,5
1929,5
1930,6
1931,6
1932,9
1933,18
1934,0
1935,5
1936,5
1937,0
1938,6
1939,14
1940,0
1941,5
1942,13
1943,7
1944,18
1945,8
1946,14
1947,9
1948,12
1949,6
1950,10
1951,13
1952,5
1953,8
1954,5
1955,5
1956,6
1957,0
1958,10
1959,5
1960,5
1961,0
1962,0
1963,7
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
