year,Marilynne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,13
1922,14
1923,13
1924,15
1925,17
1926,13
1927,10
1928,24
1929,15
1930,18
1931,24
1932,20
1933,27
1934,21
1935,22
1936,16
1937,34
1938,23
1939,23
1940,27
1941,26
1942,40
1943,45
1944,34
1945,42
1946,56
1947,42
1948,29
1949,34
1950,31
1951,26
1952,19
1953,18
1954,23
1955,10
1956,12
1957,15
1958,14
1959,11
1960,12
1961,6
1962,10
1963,8
1964,5
1965,0
1966,0
1967,0
1968,6
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
