year,Melodee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,5
1936,5
1937,6
1938,0
1939,6
1940,0
1941,0
1942,17
1943,23
1944,26
1945,25
1946,38
1947,51
1948,44
1949,37
1950,49
1951,46
1952,56
1953,76
1954,74
1955,101
1956,104
1957,78
1958,84
1959,72
1960,72
1961,69
1962,61
1963,45
1964,50
1965,35
1966,37
1967,32
1968,40
1969,33
1970,38
1971,25
1972,23
1973,28
1974,26
1975,27
1976,29
1977,34
1978,24
1979,23
1980,22
1981,27
1982,33
1983,14
1984,20
1985,13
1986,13
1987,16
1988,8
1989,8
1990,15
1991,11
1992,7
1993,15
1994,10
1995,10
1996,8
1997,7
1998,30
1999,7
2000,11
2001,18
2002,19
2003,19
2004,18
2005,29
2006,21
2007,23
2008,18
2009,31
2010,45
2011,28
2012,36
