year,Major (F),Major (M)
1880,0.000000,0.000139
1881,0.000000,0.000208
1882,0.000000,0.000199
1883,0.000000,0.000189
1884,0.000000,0.000148
1885,0.000000,0.000154
1886,0.000000,0.000121
1887,0.000000,0.000162
1888,0.000000,0.000124
1889,0.000000,0.000152
1890,0.000000,0.000090
1891,0.000000,0.000119
1892,0.000000,0.000123
1893,0.000000,0.000126
1894,0.000000,0.000109
1895,0.000000,0.000097
1896,0.000000,0.000117
1897,0.000000,0.000112
1898,0.000000,0.000110
1899,0.000000,0.000124
1900,0.000000,0.000113
1901,0.000000,0.000064
1902,0.000000,0.000119
1903,0.000000,0.000094
1904,0.000000,0.000077
1905,0.000000,0.000104
1906,0.000000,0.000091
1907,0.000000,0.000064
1908,0.000000,0.000078
1909,0.000000,0.000100
1910,0.000000,0.000078
1911,0.000000,0.000078
1912,0.000000,0.000069
1913,0.000000,0.000086
1914,0.000000,0.000077
1915,0.000000,0.000082
1916,0.000000,0.000067
1917,0.000000,0.000079
1918,0.000000,0.000070
1919,0.000000,0.000087
1920,0.000000,0.000075
1921,0.000000,0.000069
1922,0.000000,0.000066
1923,0.000002,0.000054
1924,0.000000,0.000063
1925,0.000000,0.000050
1926,0.000000,0.000064
1927,0.000000,0.000063
1928,0.000000,0.000065
1929,0.000000,0.000056
1930,0.000000,0.000064
1931,0.000000,0.000046
1932,0.000000,0.000059
1933,0.000000,0.000054
1934,0.000000,0.000045
1935,0.000000,0.000042
1936,0.000000,0.000050
1937,0.000003,0.000044
1938,0.000000,0.000044
1939,0.000002,0.000047
1940,0.000000,0.000055
1941,0.000000,0.000038
1942,0.000000,0.000045
1943,0.000000,0.000045
1944,0.000000,0.000048
1945,0.000000,0.000046
1946,0.000000,0.000034
1947,0.000000,0.000034
1948,0.000000,0.000035
1949,0.000000,0.000032
1950,0.000000,0.000039
1951,0.000000,0.000036
1952,0.000000,0.000030
1953,0.000000,0.000030
1954,0.000000,0.000028
1955,0.000000,0.000026
1956,0.000000,0.000024
1957,0.000000,0.000024
1958,0.000000,0.000023
1959,0.000000,0.000026
1960,0.000000,0.000017
1961,0.000000,0.000016
1962,0.000000,0.000017
1963,0.000000,0.000019
1964,0.000000,0.000021
1965,0.000000,0.000022
1966,0.000000,0.000016
1967,0.000000,0.000020
1968,0.000000,0.000016
1969,0.000000,0.000020
1970,0.000000,0.000020
1971,0.000000,0.000020
1972,0.000000,0.000018
1973,0.000000,0.000020
1974,0.000000,0.000019
1975,0.000000,0.000017
1976,0.000000,0.000015
1977,0.000000,0.000016
1978,0.000000,0.000017
1979,0.000000,0.000017
1980,0.000000,0.000019
1981,0.000000,0.000020
1982,0.000000,0.000015
1983,0.000000,0.000014
1984,0.000000,0.000015
1985,0.000000,0.000011
1986,0.000000,0.000014
1987,0.000000,0.000012
1988,0.000000,0.000016
1989,0.000000,0.000019
1990,0.000000,0.000016
1991,0.000000,0.000013
1992,0.000000,0.000013
1993,0.000000,0.000015
1994,0.000000,0.000012
1995,0.000000,0.000012
1996,0.000000,0.000010
1997,0.000000,0.000011
1998,0.000000,0.000010
1999,0.000000,0.000009
2000,0.000000,0.000015
2001,0.000000,0.000020
2002,0.000000,0.000021
2003,0.000000,0.000017
2004,0.000000,0.000020
2005,0.000000,0.000019
2006,0.000000,0.000021
2007,0.000000,0.000024
2008,0.000000,0.000023
2009,0.000000,0.000047
2010,0.000000,0.000064
2011,0.000000,0.000054
2012,0.000000,0.000153
