year,Micki
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,6
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,15
1942,16
1943,22
1944,18
1945,26
1946,32
1947,26
1948,32
1949,50
1950,53
1951,53
1952,50
1953,59
1954,75
1955,69
1956,81
1957,90
1958,79
1959,77
1960,86
1961,75
1962,85
1963,50
1964,53
1965,52
1966,55
1967,69
1968,56
1969,58
1970,46
1971,55
1972,48
1973,61
1974,60
1975,66
1976,69
1977,64
1978,57
1979,44
1980,32
1981,27
1982,33
1983,21
1984,37
1985,57
1986,43
1987,31
1988,23
1989,33
1990,28
1991,21
1992,18
1993,13
1994,12
1995,12
1996,18
1997,7
1998,12
1999,5
2000,0
2001,6
2002,0
2003,5
2004,0
2005,0
2006,0
2007,5
2008,0
2009,7
2010,0
2011,0
2012,7
