year,Melani
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,5
1948,7
1949,9
1950,0
1951,9
1952,7
1953,15
1954,12
1955,16
1956,22
1957,14
1958,30
1959,33
1960,28
1961,35
1962,44
1963,42
1964,45
1965,31
1966,33
1967,38
1968,34
1969,38
1970,31
1971,62
1972,61
1973,49
1974,49
1975,57
1976,58
1977,52
1978,42
1979,50
1980,62
1981,30
1982,41
1983,29
1984,37
1985,17
1986,18
1987,37
1988,38
1989,43
1990,37
1991,43
1992,33
1993,26
1994,25
1995,26
1996,35
1997,32
1998,41
1999,53
2000,66
2001,71
2002,98
2003,116
2004,114
2005,126
2006,179
2007,163
2008,170
2009,142
2010,133
2011,108
2012,140
