year,Malia
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,0
1954,48
1955,88
1956,68
1957,59
1958,33
1959,22
1960,32
1961,28
1962,47
1963,43
1964,37
1965,57
1966,41
1967,56
1968,44
1969,64
1970,63
1971,69
1972,91
1973,77
1974,99
1975,94
1976,107
1977,150
1978,141
1979,136
1980,149
1981,151
1982,164
1983,151
1984,146
1985,130
1986,108
1987,136
1988,142
1989,165
1990,159
1991,180
1992,190
1993,178
1994,191
1995,227
1996,268
1997,308
1998,353
1999,423
2000,541
2001,585
2002,682
2003,705
2004,681
2005,741
2006,782
2007,816
2008,967
2009,1699
2010,1071
2011,1006
2012,895
