year,Moishe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,10
1951,0
1952,7
1953,0
1954,6
1955,0
1956,0
1957,8
1958,8
1959,0
1960,13
1961,8
1962,0
1963,7
1964,0
1965,8
1966,0
1967,0
1968,0
1969,8
1970,9
1971,13
1972,8
1973,12
1974,13
1975,25
1976,12
1977,22
1978,14
1979,26
1980,15
1981,5
1982,13
1983,14
1984,16
1985,16
1986,20
1987,18
1988,24
1989,13
1990,19
1991,8
1992,14
1993,23
1994,15
1995,11
1996,17
1997,12
1998,19
1999,13
2000,24
2001,16
2002,18
2003,22
2004,13
2005,21
2006,32
2007,28
2008,28
2009,22
2010,21
2011,23
2012,30
