year,Marilynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,7
1915,23
1916,22
1917,30
1918,57
1919,74
1920,97
1921,125
1922,283
1923,243
1924,199
1925,130
1926,154
1927,164
1928,101
1929,126
1930,129
1931,154
1932,177
1933,228
1934,245
1935,265
1936,289
1937,271
1938,308
1939,290
1940,331
1941,348
1942,381
1943,361
1944,392
1945,299
1946,364
1947,407
1948,340
1949,346
1950,380
1951,328
1952,342
1953,287
1954,260
1955,263
1956,248
1957,238
1958,181
1959,194
1960,109
1961,114
1962,82
1963,60
1964,55
1965,58
1966,45
1967,36
1968,51
1969,43
1970,44
1971,46
1972,53
1973,40
1974,26
1975,28
1976,36
1977,44
1978,15
1979,21
1980,25
1981,22
1982,23
1983,26
1984,22
1985,21
1986,36
1987,33
1988,48
1989,45
1990,40
1991,32
1992,50
1993,45
1994,44
1995,37
1996,42
1997,39
1998,32
1999,23
2000,18
2001,18
2002,28
2003,23
2004,33
2005,26
2006,25
2007,32
2008,33
2009,24
2010,33
2011,37
2012,54
