year,Mendel
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,7
1913,7
1914,13
1915,16
1916,10
1917,13
1918,10
1919,11
1920,9
1921,5
1922,14
1923,12
1924,13
1925,13
1926,8
1927,0
1928,9
1929,10
1930,6
1931,9
1932,6
1933,10
1934,8
1935,7
1936,5
1937,6
1938,6
1939,8
1940,0
1941,5
1942,0
1943,13
1944,9
1945,5
1946,0
1947,8
1948,11
1949,11
1950,13
1951,13
1952,20
1953,10
1954,24
1955,20
1956,28
1957,25
1958,25
1959,23
1960,18
1961,17
1962,6
1963,6
1964,6
1965,9
1966,6
1967,10
1968,11
1969,14
1970,13
1971,18
1972,13
1973,16
1974,15
1975,23
1976,23
1977,19
1978,18
1979,18
1980,16
1981,13
1982,11
1983,15
1984,19
1985,14
1986,15
1987,22
1988,12
1989,25
1990,26
1991,19
1992,20
1993,21
1994,25
1995,28
1996,45
1997,28
1998,33
1999,40
2000,35
2001,37
2002,49
2003,34
2004,44
2005,44
2006,55
2007,54
2008,53
2009,72
2010,69
2011,54
2012,74
