year,Milan (F),Milan (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000025
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000015
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000015
1908,0.000000,0.000014
1909,0.000000,0.000010
1910,0.000000,0.000015
1911,0.000000,0.000016
1912,0.000000,0.000030
1913,0.000000,0.000030
1914,0.000000,0.000023
1915,0.000000,0.000036
1916,0.000000,0.000041
1917,0.000000,0.000033
1918,0.000000,0.000035
1919,0.000000,0.000036
1920,0.000000,0.000038
1921,0.000000,0.000041
1922,0.000000,0.000039
1923,0.000000,0.000043
1924,0.000000,0.000034
1925,0.000000,0.000034
1926,0.000000,0.000047
1927,0.000000,0.000034
1928,0.000000,0.000038
1929,0.000000,0.000035
1930,0.000000,0.000032
1931,0.000000,0.000035
1932,0.000000,0.000030
1933,0.000000,0.000032
1934,0.000000,0.000026
1935,0.000000,0.000020
1936,0.000000,0.000035
1937,0.000000,0.000030
1938,0.000000,0.000028
1939,0.000000,0.000024
1940,0.000000,0.000022
1941,0.000000,0.000024
1942,0.000000,0.000026
1943,0.000000,0.000019
1944,0.000000,0.000015
1945,0.000000,0.000020
1946,0.000000,0.000014
1947,0.000000,0.000014
1948,0.000000,0.000016
1949,0.000000,0.000016
1950,0.000000,0.000017
1951,0.000000,0.000014
1952,0.000000,0.000015
1953,0.000000,0.000014
1954,0.000000,0.000013
1955,0.000000,0.000015
1956,0.000000,0.000014
1957,0.000000,0.000010
1958,0.000000,0.000015
1959,0.000000,0.000011
1960,0.000000,0.000011
1961,0.000000,0.000010
1962,0.000000,0.000008
1963,0.000000,0.000010
1964,0.000000,0.000013
1965,0.000000,0.000013
1966,0.000000,0.000011
1967,0.000000,0.000013
1968,0.000000,0.000011
1969,0.000002,0.000016
1970,0.000000,0.000011
1971,0.000000,0.000011
1972,0.000002,0.000017
1973,0.000002,0.000011
1974,0.000000,0.000015
1975,0.000000,0.000013
1976,0.000000,0.000012
1977,0.000000,0.000012
1978,0.000000,0.000020
1979,0.000000,0.000020
1980,0.000000,0.000014
1981,0.000000,0.000010
1982,0.000002,0.000012
1983,0.000003,0.000012
1984,0.000003,0.000009
1985,0.000005,0.000012
1986,0.000006,0.000013
1987,0.000005,0.000009
1988,0.000007,0.000014
1989,0.000009,0.000017
1990,0.000008,0.000017
1991,0.000008,0.000015
1992,0.000011,0.000016
1993,0.000015,0.000018
1994,0.000015,0.000022
1995,0.000016,0.000021
1996,0.000025,0.000025
1997,0.000035,0.000033
1998,0.000039,0.000032
1999,0.000024,0.000024
2000,0.000024,0.000031
2001,0.000029,0.000029
2002,0.000035,0.000026
2003,0.000037,0.000029
2004,0.000050,0.000032
2005,0.000055,0.000031
2006,0.000053,0.000030
2007,0.000064,0.000036
2008,0.000061,0.000042
2009,0.000094,0.000040
2010,0.000118,0.000039
2011,0.000129,0.000041
2012,0.000105,0.000041
2013,0.000131,0.000134
