year,Meta
1880,37
1881,30
1882,51
1883,52
1884,76
1885,72
1886,77
1887,71
1888,99
1889,85
1890,115
1891,91
1892,127
1893,118
1894,93
1895,122
1896,122
1897,109
1898,100
1899,107
1900,96
1901,106
1902,83
1903,78
1904,62
1905,72
1906,82
1907,70
1908,67
1909,58
1910,48
1911,55
1912,85
1913,92
1914,98
1915,126
1916,122
1917,112
1918,117
1919,94
1920,92
1921,102
1922,81
1923,98
1924,76
1925,79
1926,68
1927,56
1928,58
1929,46
1930,43
1931,36
1932,43
1933,41
1934,37
1935,44
1936,46
1937,31
1938,32
1939,38
1940,36
1941,47
1942,42
1943,18
1944,31
1945,30
1946,30
1947,34
1948,31
1949,34
1950,38
1951,36
1952,56
1953,69
1954,42
1955,37
1956,46
1957,42
1958,43
1959,42
1960,41
1961,48
1962,42
1963,37
1964,33
1965,32
1966,36
1967,19
1968,18
1969,17
1970,19
1971,17
1972,8
1973,19
1974,14
1975,23
1976,8
1977,16
1978,15
1979,25
1980,13
1981,16
1982,16
1983,9
1984,10
1985,7
1986,8
1987,10
1988,11
1989,9
1990,7
1991,8
1992,10
1993,7
1994,0
1995,9
1996,5
1997,7
1998,0
1999,0
2000,10
2001,5
2002,5
2003,11
2004,6
2005,6
2006,11
2007,10
2008,9
2009,5
2010,0
2011,8
2012,9
