year,Marolyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,5
1921,5
1922,9
1923,8
1924,9
1925,10
1926,20
1927,21
1928,18
1929,14
1930,24
1931,24
1932,30
1933,23
1934,37
1935,33
1936,40
1937,52
1938,61
1939,56
1940,47
1941,33
1942,44
1943,43
1944,51
1945,54
1946,62
1947,58
1948,51
1949,42
1950,30
1951,38
1952,28
1953,38
1954,31
1955,33
1956,20
1957,28
1958,14
1959,22
1960,17
1961,20
1962,9
1963,12
1964,16
1965,10
1966,0
1967,8
1968,8
1969,9
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
