year,Marjie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,8
1915,7
1916,12
1917,7
1918,7
1919,12
1920,13
1921,19
1922,31
1923,21
1924,34
1925,29
1926,18
1927,26
1928,27
1929,30
1930,23
1931,18
1932,19
1933,17
1934,21
1935,13
1936,24
1937,18
1938,22
1939,26
1940,15
1941,17
1942,31
1943,23
1944,16
1945,14
1946,7
1947,19
1948,13
1949,18
1950,12
1951,19
1952,8
1953,10
1954,11
1955,15
1956,17
1957,12
1958,29
1959,20
1960,10
1961,20
1962,22
1963,10
1964,16
1965,6
1966,11
1967,6
1968,11
1969,9
1970,8
1971,0
1972,0
1973,0
1974,5
1975,0
1976,0
1977,5
1978,0
1979,0
1980,0
1981,0
1982,5
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
