year,Marshelle
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,7
1952,0
1953,10
1954,10
1955,12
1956,8
1957,13
1958,11
1959,13
1960,14
1961,16
1962,18
1963,21
1964,16
1965,17
1966,13
1967,14
1968,20
1969,16
1970,16
1971,20
1972,17
1973,9
1974,16
1975,11
1976,9
1977,10
1978,0
1979,13
1980,8
1981,12
1982,12
1983,8
1984,10
1985,9
1986,13
1987,13
1988,6
1989,6
1990,9
1991,8
1992,7
1993,8
1994,9
1995,9
1996,0
1997,8
1998,5
1999,6
2000,0
2001,7
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
