year,Mattye
1880,0
1881,0
1882,0
1883,5
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,0
1891,5
1892,7
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,7
1900,7
1901,0
1902,5
1903,5
1904,8
1905,7
1906,0
1907,0
1908,0
1909,9
1910,7
1911,10
1912,16
1913,10
1914,14
1915,15
1916,13
1917,18
1918,11
1919,14
1920,14
1921,12
1922,12
1923,10
1924,15
1925,19
1926,15
1927,13
1928,9
1929,14
1930,15
1931,9
1932,6
1933,11
1934,10
1935,7
1936,11
1937,12
1938,13
1939,15
1940,14
1941,12
1942,5
1943,9
1944,7
1945,0
1946,7
1947,6
1948,8
1949,6
1950,0
1951,8
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,0
1969,0
1970,0
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,6
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
