year,Monna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,6
1900,5
1901,7
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,10
1911,0
1912,7
1913,10
1914,12
1915,13
1916,11
1917,11
1918,12
1919,19
1920,12
1921,13
1922,14
1923,26
1924,20
1925,29
1926,17
1927,20
1928,26
1929,29
1930,37
1931,27
1932,44
1933,53
1934,45
1935,36
1936,41
1937,47
1938,29
1939,36
1940,36
1941,26
1942,30
1943,19
1944,25
1945,26
1946,18
1947,39
1948,37
1949,26
1950,25
1951,36
1952,25
1953,19
1954,19
1955,26
1956,19
1957,28
1958,20
1959,11
1960,24
1961,15
1962,21
1963,17
1964,15
1965,8
1966,12
1967,12
1968,6
1969,6
1970,10
1971,0
1972,5
1973,0
1974,0
1975,0
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
