year,Melda
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,5
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,6
1896,7
1897,6
1898,8
1899,0
1900,14
1901,7
1902,12
1903,9
1904,9
1905,13
1906,8
1907,10
1908,12
1909,8
1910,11
1911,9
1912,22
1913,16
1914,24
1915,32
1916,26
1917,38
1918,39
1919,32
1920,40
1921,37
1922,31
1923,24
1924,30
1925,44
1926,35
1927,31
1928,44
1929,33
1930,26
1931,29
1932,19
1933,24
1934,25
1935,24
1936,17
1937,31
1938,18
1939,25
1940,16
1941,20
1942,26
1943,25
1944,18
1945,17
1946,27
1947,14
1948,20
1949,18
1950,20
1951,19
1952,19
1953,15
1954,17
1955,16
1956,23
1957,20
1958,24
1959,15
1960,15
1961,8
1962,9
1963,11
1964,9
1965,10
1966,6
1967,9
1968,9
1969,8
1970,7
1971,7
1972,7
1973,0
1974,0
1975,6
1976,0
1977,0
1978,0
1979,0
1980,0
1981,0
1982,0
1983,0
1984,0
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
