year,Mariann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,12
1913,8
1914,8
1915,13
1916,18
1917,12
1918,29
1919,19
1920,30
1921,18
1922,30
1923,27
1924,29
1925,25
1926,33
1927,24
1928,48
1929,45
1930,45
1931,55
1932,55
1933,73
1934,57
1935,61
1936,77
1937,86
1938,82
1939,69
1940,84
1941,105
1942,137
1943,128
1944,107
1945,109
1946,144
1947,143
1948,169
1949,127
1950,138
1951,158
1952,133
1953,156
1954,211
1955,187
1956,186
1957,336
1958,237
1959,194
1960,196
1961,201
1962,192
1963,153
1964,148
1965,134
1966,106
1967,110
1968,76
1969,78
1970,74
1971,56
1972,56
1973,47
1974,46
1975,52
1976,46
1977,48
1978,49
1979,27
1980,40
1981,34
1982,46
1983,26
1984,28
1985,37
1986,20
1987,28
1988,28
1989,21
1990,33
1991,25
1992,28
1993,19
1994,21
1995,16
1996,16
1997,12
1998,22
1999,26
2000,47
2001,20
2002,29
2003,28
2004,31
2005,29
2006,31
2007,25
2008,21
2009,17
2010,13
2011,11
2012,17
