year,Marcelo (F),Marcelo (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000013
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000004
1914,0.000000,0.000004
1915,0.000000,0.000005
1916,0.000000,0.000007
1917,0.000000,0.000003
1918,0.000000,0.000004
1919,0.000000,0.000009
1920,0.000000,0.000010
1921,0.000000,0.000004
1922,0.000000,0.000011
1923,0.000000,0.000006
1924,0.000000,0.000008
1925,0.000000,0.000009
1926,0.000000,0.000007
1927,0.000000,0.000009
1928,0.000000,0.000008
1929,0.000000,0.000011
1930,0.000000,0.000011
1931,0.000000,0.000012
1932,0.000000,0.000013
1933,0.000000,0.000017
1934,0.000000,0.000008
1935,0.000000,0.000008
1936,0.000000,0.000008
1937,0.000000,0.000008
1938,0.000000,0.000007
1939,0.000000,0.000006
1940,0.000000,0.000005
1941,0.000000,0.000007
1942,0.000000,0.000005
1943,0.000000,0.000006
1944,0.000000,0.000007
1945,0.000000,0.000008
1946,0.000000,0.000006
1947,0.000000,0.000005
1948,0.000000,0.000010
1949,0.000000,0.000007
1950,0.000000,0.000009
1951,0.000000,0.000006
1952,0.000000,0.000008
1953,0.000000,0.000009
1954,0.000000,0.000006
1955,0.000000,0.000004
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000007
1960,0.000000,0.000008
1961,0.000000,0.000006
1962,0.000000,0.000011
1963,0.000000,0.000008
1964,0.000000,0.000010
1965,0.000000,0.000014
1966,0.000000,0.000014
1967,0.000000,0.000010
1968,0.000000,0.000012
1969,0.000000,0.000016
1970,0.000000,0.000016
1971,0.000000,0.000023
1972,0.000000,0.000023
1973,0.000000,0.000018
1974,0.000000,0.000025
1975,0.000000,0.000020
1976,0.000000,0.000022
1977,0.000000,0.000021
1978,0.000000,0.000028
1979,0.000000,0.000017
1980,0.000000,0.000021
1981,0.000000,0.000025
1982,0.000000,0.000021
1983,0.000000,0.000016
1984,0.000000,0.000021
1985,0.000000,0.000017
1986,0.000000,0.000023
1987,0.000000,0.000028
1988,0.000000,0.000025
1989,0.000000,0.000025
1990,0.000000,0.000029
1991,0.000000,0.000027
1992,0.000000,0.000032
1993,0.000000,0.000026
1994,0.000000,0.000029
1995,0.000000,0.000038
1996,0.000000,0.000043
1997,0.000000,0.000037
1998,0.000000,0.000047
1999,0.000000,0.000050
2000,0.000000,0.000050
2001,0.000000,0.000053
2002,0.000000,0.000050
2003,0.000000,0.000049
2004,0.000000,0.000048
2005,0.000000,0.000056
2006,0.000000,0.000055
2007,0.000000,0.000068
2008,0.000000,0.000072
2009,0.000000,0.000067
2010,0.000000,0.000067
2011,0.000000,0.000072
2012,0.000000,0.000078
2013,0.000000,0.000074
2014,0.000000,0.000086
2015,0.000000,0.000085
2016,0.000000,0.000087
2017,0.000000,0.000130
2018,0.000000,0.000126
2019,0.000000,0.000139
2020,0.000000,0.000126
