year,Melvina
1880,21
1881,25
1882,25
1883,21
1884,31
1885,44
1886,23
1887,38
1888,40
1889,30
1890,37
1891,18
1892,38
1893,35
1894,35
1895,39
1896,40
1897,38
1898,45
1899,28
1900,45
1901,34
1902,52
1903,43
1904,47
1905,46
1906,35
1907,46
1908,40
1909,46
1910,50
1911,59
1912,57
1913,66
1914,97
1915,106
1916,85
1917,112
1918,96
1919,96
1920,136
1921,113
1922,118
1923,121
1924,116
1925,88
1926,105
1927,92
1928,90
1929,79
1930,76
1931,73
1932,80
1933,66
1934,63
1935,68
1936,71
1937,62
1938,62
1939,64
1940,84
1941,76
1942,64
1943,75
1944,69
1945,71
1946,65
1947,85
1948,69
1949,79
1950,82
1951,72
1952,77
1953,71
1954,59
1955,91
1956,79
1957,64
1958,70
1959,66
1960,60
1961,71
1962,51
1963,73
1964,60
1965,51
1966,50
1967,49
1968,53
1969,64
1970,49
1971,55
1972,34
1973,43
1974,39
1975,55
1976,45
1977,44
1978,28
1979,35
1980,40
1981,32
1982,33
1983,18
1984,29
1985,24
1986,13
1987,35
1988,25
1989,17
1990,16
1991,23
1992,12
1993,17
1994,13
1995,7
1996,13
1997,13
1998,12
1999,8
2000,12
2001,9
2002,6
2003,8
2004,8
2005,5
2006,9
2007,6
2008,9
2009,5
2010,8
2011,0
2012,0
